scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,714.995,311.78223,0.9385285,727.4698,294.79535,0.9713548,710.39984,296.56665,0.9090013,714.78925,299.98184,1.0
1,712.0088,309.9936,0.9529432,725.63007,291.7412,1.0,708.2421,292.9804,0.9653124,712.4848,297.0454,1.0
2,710.2733,307.16647,0.94592905,724.4166,290.5605,1.0,707.1705,289.45523,1.0,711.74335,295.8983,1.0
3,707.73004,304.9408,0.97139704,722.00635,289.46664,1.0,704.0766,288.33844,1.0,709.3658,294.2847,1.0
4,707.2174,305.15384,0.94210905,719.6732,288.19125,1.0,702.306,286.7814,0.98387504,707.17456,292.6705,1.0
5,705.39124,303.50778,0.89457256,718.2568,285.64505,0.9209885,700.8427,285.15204,0.93881756,705.54224,291.20798,1.0
6,703.73584,301.8935,0.8642538,717.0847,285.6941,0.9165955,698.3206,283.14413,0.9961511,703.98474,290.26718,1.0
7,703.4991,301.1888,0.8505905,716.6259,285.12946,0.92702353,697.863,282.77588,0.98790413,703.6998,289.84396,1.0
8,704.45355,300.4844,0.857934,718.29254,283.8906,0.90301925,698.6402,281.82956,0.9101955,704.8682,289.1387,1.0
9,706.36676,298.8551,0.8635524,719.921,282.13193,0.887297,699.89813,277.81522,0.8581997,707.9665,288.10925,1.0
10,707.4435,295.68063,0.9197795,723.8611,281.99765,1.0,702.4272,273.86545,0.9409197,709.86926,286.57663,1.0
11,708.0682,294.24646,0.94963676,727.09894,283.6648,1.0,707.27893,272.07718,1.0,712.68475,286.01337,1.0
12,708.7652,295.18298,0.92949003,727.4638,284.60583,1.0,707.5513,272.78262,1.0,712.6456,287.00204,1.0
13,710.3732,294.68396,0.879226,729.1525,285.01434,1.0,709.30817,270.25378,0.93643636,715.7745,286.7071,1.0
14,712.2323,293.3256,0.862926,731.58514,285.25714,0.97446996,713.69,269.30234,0.88381183,719.13184,285.63358,0.99416095
15,716.1212,292.4166,0.90977055,735.46265,285.8494,1.0,719.4885,269.27487,0.9146654,722.8038,284.1762,1.0
16,719.0613,291.47882,0.8279971,739.26483,285.9453,1.0,723.5744,269.09055,0.9552694,726.188,283.31516,1.0
17,721.87067,289.30215,0.8421019,742.02783,286.84003,1.0,730.4117,270.00305,0.97268295,730.3082,283.06543,0.9196792
