scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,277.32312,634.4172,0.9245917,295.27026,643.27686,1.0,294.12585,629.2174,0.98780763,289.80066,634.3371,1.0
1,278.7591,632.1351,0.87968373,296.49118,639.45746,1.0,294.95923,623.22266,0.9230876,291.84265,630.865,1.0
2,279.7276,625.93414,0.9141855,298.6459,635.68396,1.0,296.97067,618.0345,1.0,292.95667,626.3816,1.0
3,281.3941,620.45593,0.8617678,299.92773,629.8142,1.0,297.57834,612.38763,1.0,294.21753,620.6624,1.0
4,281.82886,613.7954,0.89312077,301.75906,621.76575,1.0,300.4577,602.1309,0.928244,294.89124,612.97986,1.0
5,282.5244,605.8112,0.8586515,302.0252,613.9102,1.0,302.2422,592.47784,0.908634,295.9169,605.8275,0.9947626
6,283.99554,597.3344,0.92143536,305.14334,604.1954,1.0,304.11438,582.6942,0.9099526,296.47168,596.57367,1.0
7,287.25247,588.48755,0.8384308,306.32974,596.1618,1.0,305.62894,575.5739,0.96306884,298.94415,588.2945,1.0
8,288.96478,581.14136,0.9963182,307.90622,588.001,1.0,307.0419,567.753,0.95034057,301.17087,580.1461,1.0
9,288.80392,574.09937,0.88085973,310.0374,579.6359,1.0,305.39124,559.567,0.956379,301.11188,572.1222,1.0
10,290.70477,569.07605,0.94951534,312.45673,569.8298,1.0,303.9006,551.0441,0.96328014,301.8449,563.9455,1.0
11,290.8403,563.1291,0.95278674,311.4487,563.1225,1.0,302.52908,546.2833,0.98693115,300.36713,558.91113,1.0
12,288.5396,558.81067,0.8472315,309.03598,558.10944,1.0,300.63754,543.00714,0.94962144,298.30554,553.99994,1.0
13,287.49237,554.1208,0.8613473,306.3295,550.7261,1.0,294.6453,538.09406,0.9684792,295.34586,547.6452,1.0
14,286.05286,547.41956,0.9047502,304.34042,545.0892,1.0,294.04318,532.5903,0.98662853,294.32556,542.01074,1.0
15,286.42053,539.17676,0.82073873,304.39212,537.82465,1.0,294.6906,526.07825,0.9633682,294.6618,534.9152,1.0
16,285.81766,533.78235,0.9165739,304.0296,532.30493,1.0,295.19827,519.7181,0.92483056,294.3758,528.262,1.0
17,286.8945,525.79614,0.8094168,305.10007,527.6377,1.0,297.93005,512.8847,0.869832,296.87604,521.91473,0.9953799
