scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,731.02344,901.6074,0.96533203,712.8125,895.4336,0.89160156,717.0928,918.7363,0.8901367,720.6914,905.09766,1.0
1,732.22375,900.36426,0.984375,712.64453,895.3242,0.8725586,719.63086,917.56934,0.8925781,721.59766,903.9414,1.0
2,733.9121,897.1582,0.96777344,714.63184,890.89453,0.8276367,718.12305,914.833,0.85058594,723.5823,899.292,1.0
3,734.19336,896.85156,0.8857422,712.8926,888.3203,0.8652344,718.52734,912.7832,0.7753906,723.8241,897.8965,1.0
4,734.34766,895.5801,0.921875,711.5547,885.4707,0.9482422,715.4497,913.08594,0.8666992,722.39746,895.62695,0.99365234
5,732.64014,894.9297,0.921875,711.1133,884.67334,0.9848633,712.3926,912.6133,0.859375,720.46484,893.7012,1.0
6,731.7283,893.9424,0.92871094,711.1504,884.11676,0.9760742,713.0742,910.85547,0.8671875,719.4375,893.2197,1.0
7,731.53394,893.7754,0.9194336,711.6719,883.4116,0.95458984,712.33984,910.5078,0.85546875,719.98047,892.71924,1.0
8,730.8789,895.02344,0.9921875,710.05273,882.66895,1.0,709.4541,911.81055,0.9140625,718.4453,892.94385,1.0
9,729.65625,893.58887,1.0,709.1699,882.54395,1.0,708.2744,911.53516,0.87109375,718.1738,892.0,1.0
10,728.3242,893.08887,0.9995117,708.59717,882.54297,1.0,707.12305,910.41797,0.80371094,717.98535,891.50244,1.0
11,726.88477,891.94147,0.9345703,708.7407,882.8428,0.94433594,707.3965,908.3176,0.75341797,717.416,890.7412,1.0
12,726.3496,891.39795,0.9614258,707.6255,881.1367,0.96728516,706.25,906.92676,0.75097656,716.1146,889.6035,1.0
13,724.5508,892.0467,0.9589844,706.2959,880.0078,0.9345703,702.18555,906.1094,0.6923828,714.9424,888.7324,1.0
14,723.02246,892.1848,0.9272461,707.21045,878.7031,0.91015625,698.4668,904.3047,0.79296875,713.8125,887.5547,1.0
15,722.374,889.44727,0.8232422,710.0996,878.83984,0.83251953,699.6853,901.1826,0.7631836,714.6289,886.56836,1.0
16,719.58203,887.08203,0.80078125,710.416,874.29785,0.7915039,695.7754,895.53516,0.796875,713.3008,883.53955,1.0
