scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,805.30927,335.78973,0.92955625,786.99536,343.0547,0.9636056,803.89734,360.74487,1.0,799.75867,345.49878,1.0
1,805.013,335.55655,0.90922296,787.2389,343.15625,0.95798343,804.1942,360.19873,1.0,799.94806,345.52155,1.0
2,804.48334,336.13687,0.93507487,788.2173,342.69775,0.99285597,803.72015,358.1788,1.0,800.1994,345.806,1.0
3,804.5158,336.2889,0.9390687,788.40137,342.8688,0.99641806,804.7053,359.6543,1.0,800.49146,346.2111,1.0
4,804.8766,337.0505,0.9525223,788.9387,343.17102,1.0,804.9392,360.20047,1.0,800.877,346.56702,1.0
5,805.60254,334.97153,0.90927494,788.5881,342.42673,0.95908225,805.0283,360.16208,1.0,800.77423,345.8269,1.0
6,805.22266,336.31824,0.9267989,788.4396,342.65518,1.0,803.8151,358.91937,1.0,800.4819,345.8237,1.0
7,805.9006,336.5747,0.9228845,788.4916,343.0475,0.9928484,804.1549,359.8757,1.0,800.7424,346.19925,1.0
8,806.2363,335.24487,0.94173074,789.0087,342.9745,0.97874457,805.56274,360.2908,1.0,801.51166,345.9342,1.0
9,806.0524,334.51367,0.92186683,788.97235,342.39017,0.97132087,805.6224,359.58194,1.0,801.45056,345.2939,1.0
10,805.7929,333.95807,0.8830896,788.7587,344.12808,0.9535744,805.2553,358.78745,1.0,800.9051,344.81937,1.0
11,805.5005,335.192,0.86421263,788.634,341.98276,0.95742697,805.0213,358.22055,1.0,800.8613,344.9464,1.0
12,805.31964,334.491,0.89462084,788.6111,341.96512,0.94828844,805.27423,359.81992,1.0,800.9239,345.62738,1.0
13,805.32214,334.92584,0.8716143,788.96497,343.86456,0.9514638,805.5345,358.32596,1.0,800.97076,344.71246,1.0
14,806.5488,333.89584,0.8702668,788.9844,343.09402,0.9833476,806.2026,357.5429,1.0,801.0208,344.14447,1.0
15,806.48303,333.83044,0.86923367,788.89014,343.20578,0.984568,805.86096,357.08768,1.0,800.96326,344.1029,1.0
16,805.8223,334.21423,0.889527,788.9818,342.49542,0.98597604,805.8024,358.3512,1.0,801.42206,344.94638,1.0
17,805.7542,334.46616,0.8982752,788.5909,342.6578,0.9692788,805.4131,358.6215,1.0,801.11774,345.32684,1.0
