scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,242.8125,706.30176,0.9033203,220.51367,698.7529,0.91748047,220.73828,726.2344,1.0,232.1914,708.5508,1.0
43,242.2539,707.80164,0.99316406,219.44922,697.6953,0.9189453,217.80469,722.8594,1.0,230.18945,707.4463,1.0
44,241.39453,707.21924,1.0,219.35059,695.8457,0.98046875,215.55078,720.8281,0.9609375,229.35449,706.2471,1.0
45,241.22656,706.5332,1.0,219.94223,695.61914,0.9770508,216.65234,720.9375,0.96191406,229.60254,706.16797,1.0
46,241.03516,706.834,1.0,220.11328,697.0742,0.9135742,217.89844,721.77344,0.95751953,229.6836,707.36816,1.0
47,239.10742,706.61035,1.0,218.44727,695.75,0.9506836,215.98047,720.65234,0.9663086,227.61304,706.5088,1.0
48,239.33203,706.95703,1.0,219.7583,694.72656,0.97802734,214.82031,717.91406,0.9863281,227.78772,705.77734,1.0
49,240.4043,704.18945,0.9790039,221.98047,694.0586,0.9667969,216.57812,716.66064,0.9580078,230.37305,704.9922,0.9814453
50,239.71875,705.1836,0.97216797,221.98145,694.64453,0.92578125,215.83203,716.59717,0.9902344,230.06055,706.1211,0.9838867
51,240.92188,707.1582,1.0,221.17383,693.6543,0.96435547,214.53516,716.05505,0.9667969,229.03027,705.59375,1.0
52,240.41797,707.2671,0.98339844,220.86182,692.63916,0.94677734,213.21484,715.3535,0.96484375,228.54053,705.1465,0.96191406
53,241.23438,704.1074,0.96533203,221.65625,692.13635,0.9291992,214.78711,714.7744,0.8925781,230.11914,704.36914,0.9238281
54,243.21631,701.8711,0.91845703,222.19727,691.749,0.9458008,218.85645,715.105,0.8979492,233.23828,701.6631,0.9165039
55,245.40723,700.46606,0.9189453,222.58984,691.1382,0.93066406,220.27832,715.1279,0.86865234,234.98633,700.6338,0.9067383
56,246.09375,700.1196,0.9248047,222.76172,690.7656,0.92285156,220.6372,714.8994,0.8520508,235.51025,700.33936,0.92578125
57,247.23828,699.19434,0.92285156,223.64648,690.5459,0.91259766,222.97656,714.8828,0.8256836,236.93555,699.6714,0.96240234
58,247.75781,700.00806,0.90771484,225.04297,692.5425,0.91552734,223.01367,715.8683,0.80566406,237.7627,700.6709,0.9345703
59,247.63867,699.5598,0.8828125,224.08984,691.9349,0.9199219,225.08008,716.38306,0.81152344,237.28906,700.7051,0.9272461
60,248.5625,699.99927,0.9399414,224.88477,693.93164,0.9609375,227.47021,718.7617,0.9067383,238.14648,701.3428,0.93310547
61,250.5039,699.7949,0.91503906,226.28027,694.69727,0.9663086,230.22852,719.41016,0.90966797,239.90039,701.7324,0.89941406
62,250.89453,698.6426,0.89746094,227.06494,693.88184,0.9765625,232.50195,718.4551,0.92089844,239.16406,700.6572,0.9326172
63,249.08398,696.4453,0.87841797,227.86267,695.00977,0.9926758,235.82605,718.459,0.8984375,240.7461,700.37964,0.99658203
64,250.63477,694.86914,0.9868164,232.7539,695.66016,1.0,242.79395,716.51807,0.9111328,244.03333,700.31885,1.0
