scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,223.55904,270.69003,0.9044276,247.19691,278.5518,0.96875066,243.45726,250.73466,0.7554189,236.13297,269.88184,0.914643
1,224.74704,270.24234,0.90913814,248.05193,280.3806,0.9466176,246.20647,252.10504,0.7858949,237.5533,270.94476,0.87037617
2,226.0505,269.75754,0.90533197,248.59674,280.48376,0.9605272,248.30147,252.58415,0.8051744,239.27283,271.01447,0.9295772
3,226.94283,270.4703,0.90402174,250.06288,279.50787,0.9640724,249.43398,253.55557,0.7974633,240.39392,271.88675,0.90777105
4,227.20723,271.83054,0.91755444,250.0997,282.31146,0.9826008,251.13597,256.4605,0.8204033,240.51633,272.8814,0.9546398
5,229.08638,272.6151,0.88161975,250.91777,286.99615,1.0,253.7392,260.43512,0.89558566,242.32863,275.78442,1.0
6,230.81613,274.47778,0.85313755,250.37903,289.5683,0.99583983,255.82925,263.76596,0.9332599,243.7699,278.48044,1.0
7,232.4779,277.80283,0.88731486,249.92859,292.60977,0.99371845,258.5059,268.54968,0.94679856,246.20218,281.99905,1.0
8,237.07375,279.15005,0.90922403,251.02272,295.321,0.93206173,262.25806,272.15155,1.0,248.11467,284.22778,1.0
9,239.4496,279.5759,0.9323245,251.54346,297.01648,0.9200683,265.5581,276.65775,0.9709104,250.00856,286.01346,1.0
10,242.10797,280.95148,0.9825026,253.3199,296.98608,0.9632209,265.4231,278.48712,0.9891226,252.45085,286.9364,1.0
11,244.61443,280.915,0.96114993,255.78632,295.87338,0.9005475,265.3636,277.77695,1.0,255.3459,286.1578,1.0
12,248.9965,280.0107,0.8646269,258.1461,294.81735,0.9703824,267.3762,281.0258,0.9681281,259.00235,284.87997,1.0
13,249.90979,279.20663,0.83174306,259.6184,294.46558,0.99060327,268.4321,280.8938,0.93037313,260.2546,283.597,1.0
14,250.10791,279.80502,0.85084677,259.61795,294.38455,1.0,268.2897,282.3627,0.9543653,260.46695,283.57928,1.0
15,249.7106,278.81757,0.8292594,260.5045,293.32526,1.0,266.342,280.87018,0.9347933,260.30283,282.10367,1.0
16,249.82816,278.88492,0.8402695,260.09354,293.47208,1.0,266.5477,281.4381,0.9527387,260.02805,282.67245,1.0
