scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,576.1929,634.4581,1.0,571.2199,616.62836,0.93969715,561.21716,630.73303,0.98049814,567.3274,627.8781,1.0
44,568.84515,634.93835,0.86118793,565.07214,615.14154,0.9719015,555.55676,628.7612,1.0,561.3442,627.20636,1.0
45,562.483,634.2738,0.9120399,559.20074,616.11285,0.88271874,549.8544,627.9987,0.9987312,555.01874,626.3536,1.0
46,555.26935,634.83453,0.9859977,554.62286,615.6743,0.9143205,545.3077,627.2912,1.0,549.31946,626.65076,1.0
47,551.103,635.8638,0.88343865,547.5431,615.68164,0.98868436,537.73773,628.6232,1.0,543.0204,627.4399,1.0
48,544.1569,634.3316,0.99532205,539.4306,616.46295,0.92559665,530.7486,629.71924,0.9678072,535.5667,627.5743,1.0
49,537.3762,635.3586,0.83388907,531.1246,617.7373,0.9779011,523.45636,631.0688,1.0,528.13025,628.7143,1.0
50,531.9229,635.41534,0.9941842,526.13055,616.8567,0.9103082,517.1037,631.3423,0.98895645,522.7702,628.5179,1.0
51,524.5607,635.84686,0.9203424,518.5384,616.31635,0.96532816,508.2951,631.79803,1.0,515.1493,628.95374,1.0
52,516.63025,635.1768,0.9702782,509.95013,618.00244,0.9545436,501.79486,632.53235,0.97937024,508.07416,628.7137,1.0
53,509.20758,635.0585,0.9482408,506.26562,615.1898,1.0,492.91818,626.7973,1.0,502.04306,626.9525,1.0
54,504.46762,632.98694,0.950627,501.24316,611.80927,1.0,486.52454,625.3824,1.0,495.58337,624.9439,1.0
55,497.93704,631.54517,1.0,495.61978,611.0086,1.0,480.49292,623.0283,1.0,489.72794,623.6768,1.0
56,492.58142,629.88605,1.0,492.35193,607.2518,0.9976081,474.4538,617.9268,1.0,486.95728,620.3661,1.0
57,487.35483,625.4319,1.0,488.40497,603.7835,1.0,472.58054,614.52045,1.0,483.1041,615.8684,1.0
58,484.1424,620.0139,0.97257787,488.15475,598.8639,0.9808238,470.50366,608.38885,0.9609461,480.25037,610.09845,1.0
59,481.9148,615.16003,0.9799856,486.17007,597.93463,1.0,469.20703,602.3789,1.0,477.45352,606.8873,1.0
60,478.4606,611.94226,0.9483691,483.94998,592.93994,1.0,468.92966,598.7082,0.9421006,474.92303,601.4147,1.0
61,473.0606,607.4249,1.0,480.90683,588.5693,0.98257554,465.20685,593.29114,0.9187738,471.0092,597.04083,1.0
62,470.6778,606.7879,1.0,479.20596,588.7715,0.88855916,465.58344,593.78064,0.9176388,469.8072,596.06903,1.0
63,470.07605,607.2999,0.9681654,476.8703,588.5324,0.8577975,463.2607,593.35455,0.8689068,466.97815,595.9108,1.0
64,469.3162,607.4348,0.9624583,475.36105,589.3132,0.84192115,462.44662,593.92523,0.88108855,466.1312,596.3337,1.0
65,469.018,607.7926,0.9544491,474.8614,589.50946,0.8487683,462.073,595.7744,0.86287373,465.85202,596.8488,1.0
66,471.08804,607.8821,0.9448893,476.87793,589.3549,0.8554974,464.0498,594.97034,0.8637212,467.7511,596.54047,1.0
67,471.1706,606.0088,0.97675735,479.26437,589.0011,0.8535763,465.11053,593.5966,0.9214944,469.80286,595.85675,1.0
68,472.11343,604.5094,0.9691419,479.7062,587.1219,0.8169295,465.38254,589.92017,0.8628848,468.99603,593.7035,1.0
69,472.42914,602.798,0.9707922,479.7143,586.5566,0.86439383,465.1658,588.9652,0.9139143,469.4033,592.2281,1.0
70,468.87292,601.2434,0.9034042,477.90546,584.33704,0.87941176,463.4841,588.52203,0.9067438,466.69986,590.6757,0.97752625
71,467.38205,601.66205,0.89695174,475.664,583.76807,0.89506084,461.4239,588.7713,0.96526587,465.14417,590.63336,0.9614285
72,465.81146,599.9419,0.9008975,474.14578,582.6728,0.97057873,458.19186,586.7998,1.0,463.4741,589.3643,1.0
73,464.94843,600.5038,0.87341154,472.48843,581.97986,0.9484725,456.5779,587.4956,1.0,462.35657,589.90393,0.9817063
74,461.3677,600.42554,0.912241,466.93842,582.1693,0.98916054,451.94794,587.02655,1.0,457.31586,589.8575,1.0
75,457.3707,599.80554,1.0,463.0998,581.96265,0.9739687,447.5585,585.7333,0.93874454,453.45792,590.296,1.0
76,454.50714,601.32196,0.90584624,459.25055,582.5749,0.95614445,443.4648,589.2913,1.0,451.14023,591.1297,1.0
77,450.28128,600.8491,0.9204753,454.58124,582.664,0.9789278,438.47876,588.3055,1.0,445.9899,591.6826,0.99109304
78,445.2297,600.32764,0.94855434,450.1354,581.9618,1.0,434.8018,587.74164,1.0,440.75784,590.2332,1.0
79,439.35364,599.7061,0.9233714,445.73444,582.6002,0.8886417,430.93622,588.3567,0.93664175,436.8108,590.3611,1.0
80,438.18765,600.53143,0.94784164,442.6278,581.8594,0.9641062,425.86218,588.3327,1.0,433.71954,590.9341,1.0
81,439.52335,603.03326,0.9543558,440.44522,583.9342,0.951898,425.56345,593.1372,1.0,434.18768,593.59076,1.0
82,440.35587,603.886,0.891844,439.335,584.5696,0.9169273,429.3792,595.7724,1.0,434.175,595.4853,1.0
83,443.7998,605.46893,0.95690805,444.54727,586.0677,0.92207783,434.3373,597.5489,0.88352674,438.49008,596.29877,0.99998003
84,447.0228,604.3808,0.57981336,451.31235,588.2422,0.57966554,442.42084,593.343,0.60005385,442.36887,594.933,0.7044793
85,449.4531,607.5931,0.6339942,453.15213,593.8251,0.69161594,442.8873,599.1772,0.8039772,443.7801,598.59625,0.732657
86,451.17545,607.8633,0.81291234,451.70215,592.5782,0.798086,442.50778,599.3843,0.9846175,445.55884,599.54956,0.8781163
87,450.72073,609.46014,0.8804432,447.0284,593.242,0.8796816,439.40128,602.8706,1.0,443.32074,601.6771,1.0
88,451.3288,608.26605,0.92957103,446.50214,593.2377,0.90469486,439.44318,604.59937,1.0,443.89145,602.4898,1.0
89,451.25916,610.236,1.0,443.4725,595.4154,0.9750923,437.85965,610.2703,1.0,442.2061,606.2353,1.0
90,449.97272,614.42505,1.0,440.2276,599.3587,0.9455914,435.434,615.49207,1.0,439.9553,610.9437,1.0
91,448.20374,617.8384,0.94234115,436.67227,605.3889,0.9315539,433.9622,622.23334,1.0,438.81012,616.47845,1.0
92,443.76617,619.11743,0.7578958,435.6971,613.6275,0.92414844,432.46042,624.99805,1.0,435.66083,620.16327,1.0
93,438.32605,620.4996,0.79601187,431.6106,616.4809,0.9481158,430.904,626.51306,1.0,432.16068,621.3871,1.0
94,435.62778,621.93744,0.7686699,431.50394,617.1572,0.8933293,429.05722,627.517,1.0,430.14774,622.7913,1.0
95,437.07764,623.20483,0.8193563,429.63208,616.574,0.915468,427.13174,627.8262,1.0,429.04214,622.88525,1.0
96,436.34653,623.9736,0.8449519,428.35788,616.25354,0.925119,425.85474,628.6049,1.0,428.2081,623.56793,1.0
97,435.2017,626.3148,0.9449106,425.2821,614.4986,0.8917124,423.85556,630.61096,1.0,425.4951,625.9299,1.0
98,432.21365,630.12134,0.9262019,421.378,618.47003,0.9374661,419.34042,633.1336,1.0,422.1742,628.564,1.0
99,429.03265,632.70917,0.89513385,416.3028,622.5692,0.8940815,415.6122,637.0199,1.0,418.59943,631.8615,1.0
100,422.75644,634.7426,0.8682841,413.2185,626.0916,0.83702534,411.59814,639.59094,1.0,414.29443,634.6926,1.0
101,418.09155,640.69916,1.0,407.6713,625.37384,1.0,401.2196,644.7108,1.0,408.4275,638.16,1.0
102,413.6018,644.36035,1.0,399.7413,627.2301,1.0,394.65936,647.4922,1.0,401.69025,641.0777,1.0
103,406.85403,646.2618,1.0,394.01288,628.9741,1.0,387.35217,649.1612,1.0,396.0071,642.25256,1.0
104,401.1712,648.2588,1.0,387.3175,630.0785,1.0,377.77393,651.9535,1.0,390.08286,644.0114,1.0
105,394.11508,650.09375,0.9089081,379.91968,632.773,0.9551017,374.90277,654.1086,1.0,382.72278,646.89,1.0
106,388.64386,649.451,1.0,377.11337,632.43195,0.97234803,371.65372,651.0722,1.0,377.83978,645.5732,1.0
107,383.4492,648.0934,0.9942201,374.54868,629.1296,0.9813892,365.53433,647.76227,1.0,373.55823,642.49255,1.0
108,376.58936,644.28156,1.0,371.58194,626.04987,1.0,358.939,639.84436,1.0,368.3396,638.2344,1.0
109,370.91632,641.0894,1.0,369.49146,621.2473,1.0,353.58902,631.05774,1.0,365.07257,632.8632,1.0
110,364.7782,635.8403,0.99025583,367.2874,615.69604,1.0,351.6502,623.7608,1.0,359.58545,626.073,1.0
111,359.9353,631.8266,0.9714462,362.33902,611.0014,1.0,345.17795,619.2658,1.0,354.9443,622.4379,1.0
112,353.55768,626.0452,1.0,354.21854,605.31415,0.966728,337.32666,614.83435,0.9454503,347.1399,616.7789,1.0
113,344.49335,621.84344,0.92543274,346.6189,600.39307,1.0,329.2583,610.6289,0.9885045,339.1884,613.4463,1.0
114,335.13483,620.7286,0.984836,337.20438,598.976,0.9851275,320.2856,606.9959,0.9651513,329.76205,610.50165,1.0
115,327.1818,618.2399,0.8970052,328.66998,596.8547,1.0,310.98926,605.7628,0.9821874,320.7697,608.2166,1.0
116,317.31842,615.9231,0.97146696,321.74658,595.5134,1.0,304.3932,601.99567,0.9899343,311.9564,606.17773,1.0
117,308.3307,611.8638,1.0,313.59625,590.89087,1.0,296.0194,598.24414,0.90818685,304.29636,601.56976,1.0
