scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,805.9658,904.09375,0.93359375,800.834,881.69336,1.0,782.71094,897.1133,0.9213867,796.64355,894.9219,1.0
1,806.1035,904.21094,0.921875,800.91016,881.4512,1.0,782.6133,896.6094,0.92822266,797.166,894.8711,0.9794922
2,806.0742,904.1211,0.9370117,800.8926,881.3418,1.0,782.6094,896.4961,0.9404297,797.0908,894.89453,0.9868164
3,806.3125,904.4258,0.9472656,801.06055,881.33203,1.0,782.8789,897.1289,0.9428711,797.4961,894.99414,0.9892578
4,806.60547,904.7969,0.9213867,801.0215,881.62305,1.0,782.5703,897.64844,0.9213867,797.7246,895.18555,0.96728516
5,806.20703,904.76953,0.9301758,800.5742,881.47266,1.0,781.5117,897.53125,0.91552734,797.2217,895.24414,0.9716797
6,806.3125,904.96875,0.93652344,800.7168,881.5215,1.0,781.6992,897.8125,0.92089844,796.9624,895.3867,0.97265625
7,806.31836,905.03125,0.93408203,800.7832,881.584,1.0,781.6914,897.5781,0.91845703,797.3447,895.3535,0.9760742
8,805.7803,904.5625,0.93847656,800.55664,881.66406,1.0,781.72656,896.85547,0.92529297,796.9004,895.19727,0.98046875
9,805.71875,904.16016,0.94677734,800.5996,881.1465,1.0,781.6211,896.16016,0.9301758,796.5386,894.81836,0.9926758
10,805.80176,904.21484,0.94873047,800.81055,881.02734,1.0,781.7656,896.1172,0.9370117,796.7612,894.75586,0.9951172
11,806.1719,904.85547,0.9277344,801.00977,881.4629,1.0,782.1367,896.83984,0.92822266,797.1748,895.1699,0.9785156
12,806.06055,904.96875,0.9536133,800.77344,881.68555,1.0,782.3672,897.47266,0.93115234,797.0625,895.3281,0.99902344
13,806.0703,904.875,0.9526367,800.7363,881.666,1.0,782.53516,897.65625,0.9272461,797.0127,895.3047,1.0
14,806.0117,904.6992,0.95996094,800.5371,881.7715,1.0,782.71484,897.84375,0.92871094,796.53564,895.2578,1.0
15,806.0176,904.8008,0.95654297,800.44727,881.70703,1.0,782.52734,897.8281,0.9272461,796.5137,895.2969,1.0
16,805.9746,904.6328,0.9482422,800.4043,881.61914,1.0,782.5508,897.54297,0.9238281,796.41284,895.1172,1.0
