scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,824.7574,883.06335,0.88216865,807.5779,887.259,0.9669622,819.6608,904.2745,0.9707622,817.9131,891.12006,1.0
43,824.9152,883.1837,0.86791325,807.7322,887.5277,0.9601854,819.8591,904.9482,0.9457747,818.07275,891.55835,1.0
44,825.8717,883.64386,0.87990636,808.14886,887.76984,0.9586477,821.1335,905.12024,0.95311946,818.8821,891.83984,1.0
45,826.3879,884.37244,0.9029187,807.4337,888.1689,0.9450795,820.8457,905.97864,0.96703714,818.60944,892.1072,1.0
46,826.2835,884.1799,0.8851837,807.98303,887.97253,0.9573045,821.27356,906.2438,0.9662071,818.6211,891.77606,1.0
47,827.7145,884.43427,0.85161704,810.3324,888.2707,0.9902937,824.3231,908.17395,0.9388792,820.5991,891.609,1.0
48,826.0704,885.1865,0.86091304,813.5708,889.25055,0.9607742,826.4509,908.49225,0.9241118,823.52704,891.10547,1.0
49,827.7619,884.78503,0.8725286,813.49457,889.93695,0.9321048,829.56744,908.41266,0.91702265,824.49426,891.4135,0.9930603
50,828.0468,884.4429,0.8616661,813.38196,889.5982,0.93045115,830.40643,908.406,0.9011567,825.1412,890.65704,0.97552425
51,827.5217,884.01337,0.87328035,813.29126,889.2352,0.93531424,830.41925,907.98785,0.8975961,824.9934,890.1691,0.97969794
52,827.24036,883.6246,0.8728634,812.99524,888.35254,0.97658336,828.5133,907.57556,0.90845984,823.95074,889.77356,1.0
53,828.1295,883.30774,0.8969687,811.6083,887.9792,1.0,827.2668,908.12866,0.93811685,822.23553,890.0413,1.0
54,828.5334,883.2359,0.9159583,810.9207,888.0337,1.0,826.568,908.96326,0.93478006,821.6283,890.56995,1.0
55,828.21246,882.9406,0.91736555,811.13464,888.1659,1.0,827.2275,908.7075,0.9353684,821.69415,890.6097,1.0
56,828.3374,882.4891,0.9238738,810.70166,888.0771,1.0,827.6546,908.2889,0.93749195,821.26404,890.63696,1.0
57,828.4103,882.72687,0.93113256,809.87634,887.3854,1.0,825.9582,908.43756,0.94694424,820.4408,890.2284,1.0
58,828.38995,883.10284,0.9313201,809.77325,887.27924,1.0,824.5566,908.6223,0.9446385,820.15497,890.3303,1.0
59,828.0446,883.4947,0.9675369,807.99493,886.27625,1.0,823.7887,908.42267,0.9633184,818.921,890.0527,1.0
60,827.17303,883.55273,0.9766918,806.8119,886.00604,1.0,820.2975,907.51575,0.9926629,817.7292,890.00543,1.0
61,826.1159,884.2843,0.9598261,803.8321,885.05396,1.0,815.1293,907.56226,0.88485736,815.9999,889.3909,1.0
62,824.6401,883.4103,0.93908167,802.2435,882.79095,1.0,812.8823,908.90216,0.9366604,814.27325,887.5305,1.0
63,823.70776,883.34845,0.94868636,801.8086,882.4105,1.0,811.95447,908.3197,0.96548015,813.11426,887.31683,1.0
64,822.7929,884.10645,0.9495955,800.8357,881.9763,1.0,810.71313,907.8236,0.9641383,811.86035,887.3198,1.0
65,822.74457,884.5077,0.9563191,800.5194,882.11676,1.0,809.8554,907.74664,0.9604369,811.56055,887.6711,1.0
66,822.31256,884.4183,0.95391625,800.0157,882.52484,0.99378586,809.46075,907.80835,0.9863706,811.172,887.1368,1.0
67,822.26953,884.4031,0.9405459,800.53094,881.43774,0.9749363,809.0021,907.78296,0.96552455,810.9626,887.0041,1.0
68,822.3523,884.1731,0.9265895,799.94104,882.08,0.969298,809.0406,907.94696,0.96252143,811.10645,886.84265,1.0
69,823.0558,884.5871,0.942978,799.9809,881.7121,0.96398675,809.4464,908.4957,0.9531159,811.3386,887.0958,1.0
70,822.8691,884.17267,0.95293057,799.6482,881.7286,0.9537805,809.4664,908.52,0.96738404,811.5372,886.89465,1.0
71,823.07336,883.8806,0.96627593,799.75275,881.3284,0.9478271,809.73016,907.9241,0.9607021,811.77795,886.506,1.0
