scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,826.00586,905.6992,0.74658203,812.06494,903.7578,0.78515625,818.01465,919.0918,0.84814453,818.5596,912.10547,0.8935547
1,826.69336,905.8789,0.80859375,810.34766,902.6426,0.859375,817.6758,917.7998,0.890625,818.1582,910.4199,0.9301758
2,826.65234,905.3906,0.79052734,811.08545,902.3535,0.84472656,817.8379,917.76953,0.86279297,818.3262,910.6738,0.9223633
3,826.35254,904.9844,0.76660156,811.51294,901.376,0.8305664,817.5137,916.87305,0.81396484,818.25195,909.8203,0.8720703
4,825.3633,905.8906,0.7319336,811.98083,902.2363,0.79589844,816.63086,916.41724,0.8125,817.3242,910.4668,0.86572266
5,824.541,906.5049,0.6796875,812.63965,902.6133,0.75146484,818.41016,918.0547,0.80029297,816.6035,911.2344,0.82910156
6,824.43555,906.7656,0.6870117,812.6196,903.0078,0.74609375,818.1133,918.4004,0.81933594,816.49805,911.58594,0.84521484
7,820.14685,904.79297,0.6323242,812.50635,902.2031,0.73339844,817.0078,917.62305,0.80078125,816.7656,909.499,0.7890625
8,818.5664,904.35547,0.60839844,813.34375,902.125,0.7207031,816.2383,917.083,0.7939453,816.23047,909.2637,0.78125
9,818.07715,905.2656,0.58740234,813.3867,901.0781,0.73339844,814.82227,917.2588,0.8588867,814.9297,909.5137,0.82373047
10,812.38306,900.7749,0.54296875,814.5508,901.5703,0.68603516,813.959,917.875,0.8076172,814.06445,910.5547,0.7675781
11,813.35156,900.58984,0.5595703,813.166,901.6875,0.74609375,812.7173,918.00977,0.89160156,812.98926,910.5332,0.83496094
12,818.0498,904.28516,0.62353516,812.0554,901.26953,0.7963867,812.4053,917.68555,0.91308594,812.8174,909.7334,0.8857422
13,819.1821,904.28516,0.65966797,812.0664,901.1953,0.8173828,813.34375,917.89844,0.89453125,813.71387,909.7627,0.90722656
14,821.53613,904.1133,0.70751953,809.8008,901.35645,0.84814453,814.2363,917.03906,0.8808594,814.77734,908.8955,0.9272461
15,820.6196,903.1621,0.71875,811.43994,901.3008,0.8232422,815.3965,916.4551,0.81347656,815.4336,908.521,0.89746094
