scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,281.15143,855.66864,0.9514868,284.25296,874.4008,0.8751043,299.68353,865.0727,1.0,288.47195,863.868,0.9406336
1,283.13144,856.4324,0.9621072,286.3413,874.25507,0.8842176,300.43628,865.19037,1.0,290.83566,864.31085,1.0
2,284.75647,857.23,0.9464853,286.4065,875.7956,0.9344014,302.5401,866.7394,1.0,292.40298,865.5696,1.0
3,287.17938,856.4496,0.96769875,289.3424,875.47156,0.97513986,305.21014,866.1237,0.99580055,294.7319,865.4409,1.0
4,287.73804,856.4696,0.94994694,288.53476,876.7609,0.9122467,304.88123,867.96893,0.98910785,294.19382,866.03033,0.99419194
5,286.38593,857.2027,0.9525442,287.5683,878.2371,0.8832917,304.4083,868.401,0.9606801,293.1239,866.48553,0.95567226
6,285.1394,856.1716,0.9645308,288.32935,876.4357,0.8782732,305.11255,864.5965,0.93908024,292.71936,864.7782,0.92303383
7,283.42847,855.61127,1.0,288.882,874.1682,0.9137646,303.74866,861.8631,0.95075595,291.52377,863.8,0.9391643
8,282.71332,853.38104,1.0,288.2269,872.04266,0.91175747,303.5815,858.74146,0.8911053,290.7175,861.8654,0.95185643
9,280.6671,853.1874,0.976655,288.02814,871.11206,0.9668927,302.91672,856.27246,0.90504295,289.44806,860.92474,1.0
10,279.8729,853.2787,0.95791364,288.70343,869.9981,1.0,301.57346,856.7565,0.9459204,289.32083,859.5522,1.0
11,278.24506,851.6278,0.9865077,288.69366,868.43365,1.0,298.77673,854.39557,0.9099894,288.6897,856.9379,1.0
12,278.2392,850.2303,0.9937936,289.23593,867.39764,1.0,299.32913,851.83154,0.99391264,289.71823,855.01447,1.0
13,277.2198,850.2242,1.0,288.25354,866.92957,1.0,296.7317,851.4906,0.9347852,288.4122,855.812,1.0
14,274.68182,850.6117,1.0,286.64493,866.53296,1.0,295.5131,850.32574,0.9149909,286.231,855.4747,1.0
15,273.2605,851.1426,1.0,286.8091,865.5681,1.0,293.5705,849.9221,0.91895384,284.73962,855.17554,1.0
16,271.82147,850.21985,0.9891861,286.50494,864.27924,1.0,292.61874,846.83417,0.89637685,283.46616,853.69147,1.0
