scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,820.1837,332.22864,0.9345703,800.8125,343.56445,0.89404297,822.75,361.73828,1.0,814.12695,342.5332,1.0
43,821.34863,333.51855,0.9082031,799.1914,343.25,0.89746094,820.1037,361.78516,0.9819336,812.8364,343.01953,1.0
44,819.73364,333.77344,0.92822266,797.9678,343.88477,0.90478516,817.3418,363.1006,0.95166016,812.17444,344.28516,1.0
45,818.9629,334.5,0.9609375,796.9385,344.20312,0.93115234,816.39453,363.49072,0.93652344,811.13574,344.72656,1.0
46,818.917,337.39453,0.97753906,795.75366,344.40625,0.94873047,814.50586,365.47754,0.90185547,808.80664,344.5293,0.97265625
47,817.7012,339.4995,1.0,793.6387,344.38477,0.9790039,812.0548,365.97656,0.9135742,807.5469,346.85645,0.9394531
48,817.4961,338.64355,1.0,792.7715,344.375,0.9682617,812.06525,365.51562,0.8857422,807.52734,346.16895,0.9453125
49,817.8047,339.77698,1.0,792.5371,344.84375,0.9633789,810.0947,365.8662,0.8828125,807.25,346.44824,0.94140625
50,817.4844,339.5652,1.0,792.45703,344.31445,0.9584961,810.6914,365.56348,0.8774414,807.42773,346.4082,0.9379883
51,817.5996,338.59473,1.0,792.4961,344.25,0.96435547,811.0596,365.00098,0.86865234,807.8613,346.42578,0.94433594
52,817.3594,337.79883,0.99658203,793.2344,344.60938,0.9560547,813.3086,364.88818,0.8852539,807.64844,345.2754,0.94921875
53,816.62305,335.30078,0.9501953,794.2822,344.46094,0.9868164,815.80664,364.09564,0.89697266,808.11914,344.125,0.9838867
54,815.64453,333.58496,0.9248047,796.18115,344.5625,0.9589844,817.8086,362.6797,1.0,809.28906,343.63672,1.0
55,816.20703,333.58496,0.9370117,796.58984,344.04688,0.9560547,817.5332,362.6328,1.0,809.916,344.53125,1.0
56,816.03906,331.98715,0.93115234,797.458,343.02344,0.96972656,818.46875,361.23438,1.0,810.2842,343.0586,1.0
57,818.166,332.6831,0.94189453,798.3633,342.75,0.9472656,818.46094,361.51172,1.0,811.4087,342.85547,1.0
58,817.31836,332.30103,0.9423828,798.22266,342.7754,0.9345703,818.749,361.39844,1.0,810.8594,342.73047,1.0
59,818.46387,334.83398,0.93066406,796.2079,342.875,0.9794922,814.38086,362.77148,0.8676758,809.72266,343.88086,1.0
60,818.1709,338.7207,0.9897461,794.10547,343.88477,1.0,810.2549,364.72803,0.87402344,807.14844,344.99414,0.9838867
61,817.34766,340.33667,0.984375,791.9453,344.39258,0.9765625,808.91406,366.11133,0.9013672,806.5801,346.68848,0.9501953
62,815.8242,342.08594,0.9501953,791.7656,345.20508,0.9995117,804.6592,369.04688,0.9584961,805.7373,348.89893,0.9301758
63,815.8594,342.34766,0.9458008,791.3125,345.44727,0.9951172,804.27295,369.24414,0.93603516,805.51953,349.08496,0.9194336
64,815.77734,342.46484,0.95410156,791.46094,345.76562,1.0,804.5869,369.41602,0.9472656,805.5283,349.35742,0.9189453
65,816.4238,345.72266,1.0,791.14453,347.23486,0.97802734,803.88446,372.67676,1.0,805.6279,350.94922,0.8676758
66,815.2383,346.36523,0.9448242,790.5781,348.48926,0.9604492,804.63965,373.73242,1.0,804.7285,352.4922,0.9272461
67,815.49023,346.35938,0.93359375,790.4199,348.15698,1.0,804.0492,372.98535,1.0,803.9312,352.16016,0.9423828
68,815.8203,344.52344,0.9584961,790.4531,347.03125,1.0,804.603,371.66284,0.98291016,804.5703,351.35352,0.8823242
69,816.3203,342.49023,0.9482422,790.8828,345.7129,1.0,806.4883,368.4668,0.9194336,805.2578,349.0332,0.91503906
70,816.8418,342.3789,0.9614258,791.3867,345.04883,1.0,806.8379,368.33594,0.92041016,805.5996,348.66504,0.9375
71,815.7578,343.03125,0.9580078,791.54297,346.04883,1.0,805.6406,370.22168,0.97265625,805.24805,350.05078,0.9213867
72,815.76953,343.16797,0.953125,791.2422,346.88867,1.0,806.66797,370.5039,0.98779297,805.08594,350.4375,0.8984375
73,815.54297,342.75,0.94140625,791.3164,346.37012,1.0,806.6953,370.125,0.9760742,805.2217,350.1543,0.90966797
74,815.41016,344.6914,0.9506836,791.83203,347.01074,1.0,806.8281,371.64722,1.0,805.2178,351.03125,0.9091797
75,815.6074,345.38867,0.9399414,791.1914,346.97656,1.0,806.2031,371.88513,1.0,804.86523,351.29297,0.9199219
76,814.76953,344.58203,0.92626953,790.85156,346.6494,1.0,805.91406,371.2295,1.0,804.36084,350.73047,0.8935547
77,814.98047,344.49414,0.94189453,791.1719,347.59692,1.0,806.9238,371.72485,1.0,804.7388,351.17578,0.9135742
78,815.2617,343.9297,0.9526367,791.1797,347.56836,1.0,807.82227,371.74536,1.0,805.2881,351.01953,0.91503906
79,815.7578,344.57227,0.97265625,791.83203,347.8683,1.0,808.10547,372.46558,1.0,805.93945,351.65625,0.93115234
80,814.3281,346.1162,0.9082031,792.43945,349.08984,1.0,808.1289,373.49902,1.0,804.958,353.95312,1.0
81,813.9258,346.48926,0.9057617,792.1719,349.50488,1.0,806.63477,374.37695,1.0,804.70605,354.25977,1.0
