scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,786.6426,347.80823,1.0,764.2825,345.6914,0.9213867,770.79004,370.75684,1.0,775.6621,350.89648,0.86279297
1,782.8711,354.09473,0.88183594,761.6836,350.41016,0.953125,767.8281,376.4297,0.85791016,772.16626,356.90967,1.0
2,783.19727,360.0586,0.89404297,759.9414,355.1548,1.0,765.72266,382.3711,0.82666016,771.1787,362.21094,1.0
3,781.88965,365.7539,0.91064453,758.64844,360.5625,0.9160156,763.5032,388.5127,0.8720703,770.58887,367.96875,0.9760742
4,780.1377,371.62695,0.8979492,758.9121,367.9922,0.90234375,764.26,393.83008,0.7421875,769.1875,374.2754,1.0
5,781.0996,375.71875,0.91845703,758.1387,372.41528,1.0,764.8125,396.0746,0.79248047,769.58984,378.38867,1.0
6,780.8125,377.6875,0.9116211,757.6494,374.3203,1.0,765.35645,400.18164,0.87402344,769.4199,380.88135,1.0
7,781.3291,379.74316,0.9189453,757.9209,378.99805,0.9482422,766.96094,403.6726,0.875,770.0303,383.95312,0.9765625
8,780.6763,384.3086,0.96728516,757.54004,384.23828,0.9707031,768.46875,409.08984,0.86083984,769.02344,388.4568,1.0
9,780.2446,388.99805,0.92626953,757.4297,388.93652,1.0,769.4629,412.69336,0.86572266,769.8633,394.01465,1.0
10,781.5586,394.6084,0.8984375,759.59375,395.50366,0.92285156,771.2119,416.87695,0.9477539,772.41406,399.28125,0.8798828
11,782.61914,399.07227,0.8935547,761.2793,397.91016,0.88720703,771.2959,420.60352,0.96875,772.2007,403.0,1.0
12,784.25977,401.61133,0.8300781,765.3281,403.1333,0.9458008,776.15625,423.66797,0.7988281,774.8906,407.3086,0.99121094
13,785.97656,406.7168,0.96728516,765.14453,408.08203,0.94140625,777.1738,430.85352,0.9326172,775.82227,412.62158,0.9008789
14,787.23926,411.28662,1.0,766.1074,410.6709,0.8774414,778.0703,434.9668,0.97265625,777.3262,416.35352,0.8725586
15,787.36035,416.02734,0.953125,766.86523,417.08984,0.9169922,777.7754,439.6836,0.9814453,776.8496,421.31348,0.94873047
16,786.26953,419.5559,0.97314453,765.7412,421.7744,0.93115234,778.22656,444.06573,0.97509766,775.9492,425.0547,0.89990234
