scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,779.2036,340.1648,0.9375,767.49805,325.02832,0.95654297,756.0859,349.08496,0.8208008,771.0571,336.19922,1.0
1,778.8467,340.35034,0.91552734,766.44727,325.67383,0.9711914,754.6172,349.6963,0.84033203,770.5596,335.27344,1.0
2,779.3999,341.5752,0.9609375,765.9531,325.68555,0.98339844,754.3047,350.28125,0.8925781,770.06445,335.95703,1.0
3,779.7638,342.59375,0.98095703,765.11914,328.0039,0.94921875,756.7007,352.4453,0.9584961,770.25,337.82812,1.0
4,778.8613,341.28906,0.9008789,766.1074,331.68237,0.8457031,760.2578,354.79004,0.89160156,770.7949,338.77637,1.0
5,781.2197,343.8789,0.93896484,764.35693,329.9004,0.921875,759.7324,356.87598,1.0,770.06055,340.448,1.0
6,781.9658,344.41016,0.90966797,764.64844,329.69727,0.97998047,759.8457,358.46094,0.9746094,771.07324,340.5337,1.0
7,783.3828,345.48047,0.8378906,765.4961,331.77466,0.9584961,760.7422,360.0703,0.88183594,772.51465,341.98535,1.0
8,784.33203,346.3037,0.9199219,767.1172,332.34937,1.0,760.6797,359.90625,0.88964844,774.3926,343.50586,1.0
9,784.8418,345.2832,0.94140625,767.28516,334.10547,1.0,763.9534,362.22266,0.8466797,774.3965,344.44336,1.0
10,784.0586,346.76074,0.953125,767.02734,337.1172,0.9941406,765.2969,363.75757,0.83447266,773.7285,346.60254,1.0
11,786.2168,345.83203,0.953125,768.5,337.6289,0.9472656,767.83203,361.56055,0.87353516,775.9883,346.62598,1.0
12,787.30615,343.91016,0.98339844,771.0259,337.26758,0.9501953,773.17676,360.96484,0.9848633,777.3926,346.25195,1.0
13,791.90234,343.96875,0.99072266,774.0586,336.89453,0.9770508,777.4453,360.27148,0.9633789,781.00977,345.0039,1.0
14,795.2012,341.80273,0.8515625,778.5283,339.8125,0.86865234,784.2637,357.85156,0.8544922,785.53516,347.0537,1.0
15,798.96094,342.20703,0.85058594,782.8301,339.89844,0.90185547,787.698,357.6328,0.92333984,788.61523,347.81897,1.0
16,799.6367,342.1621,0.875,786.08203,339.29688,0.8720703,790.1406,356.958,0.91064453,789.8418,348.35327,1.0
