scorer,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,implant,implant,implant,centroid,centroid,centroid,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,279.9976806640625,368.2912292480469,0.9998770952224731,267.3321228027344,349.8352966308594,0.9998763799667358,257.71722412109375,368.1178283691406,0.9999901056289673,266.5655517578125,361.0035705566406,0.9998447895050049,236.481689453125,343.8548889160156,0.9999808073043823,217.9127197265625,322.96087646484375,0.9999126195907593
1,279.9976806640625,368.2912292480469,0.9998794794082642,267.3321228027344,349.8352966308594,0.9998315572738647,257.71722412109375,368.1178283691406,0.9999904632568359,266.5655517578125,361.0035705566406,0.9998688697814941,236.481689453125,343.9795227050781,0.9999845027923584,217.9127197265625,323.1785888671875,0.9999040365219116
2,279.9976806640625,368.4588928222656,0.9998838901519775,267.3321228027344,349.8619079589844,0.999841570854187,257.71722412109375,368.1178283691406,0.999987006187439,266.5655517578125,361.19189453125,0.9998958110809326,236.481689453125,343.9795227050781,0.9999812841415405,217.9127197265625,323.2154235839844,0.9999194145202637
3,279.6927795410156,368.4588928222656,0.9999033212661743,266.9708251953125,349.8619079589844,0.9998443126678467,257.3143615722656,368.1178283691406,0.9999837875366211,266.5655517578125,361.19189453125,0.9999045133590698,236.21519470214844,343.97711181640625,0.9999850988388062,217.9127197265625,323.2154235839844,0.9999128580093384
4,279.3329772949219,368.4588928222656,0.9999297857284546,266.9425964355469,349.8619079589844,0.9998304843902588,257.2547912597656,368.1178283691406,0.9999854564666748,266.5655517578125,361.19189453125,0.9998866319656372,236.21189880371094,343.97711181640625,0.9999839067459106,217.9127197265625,323.2154235839844,0.9999144077301025
5,279.2679748535156,368.910888671875,0.9999395608901978,266.9075012207031,350.04931640625,0.999880313873291,257.0385437011719,368.7496337890625,0.9999871253967285,266.8800354003906,362.1360778808594,0.9998557567596436,236.15176391601562,343.97711181640625,0.9999837875366211,217.9618377685547,322.9835205078125,0.9999120235443115
6,279.2679748535156,368.910888671875,0.9999465942382812,266.9075012207031,350.25830078125,0.9998923540115356,257.0085144042969,368.7496337890625,0.9999850988388062,266.8800354003906,362.1360778808594,0.9998525381088257,236.15176391601562,343.97003173828125,0.9999858140945435,217.9618377685547,322.9835205078125,0.9999127388000488
7,279.245849609375,368.910888671875,0.9999406337738037,266.8878173828125,350.25830078125,0.9998651742935181,256.9600830078125,368.7496337890625,0.999987006187439,266.8800354003906,362.1360778808594,0.9998583793640137,236.15176391601562,343.9577941894531,0.9999842643737793,217.9618377685547,322.9835205078125,0.9999104738235474
8,279.245849609375,368.75189208984375,0.9999377727508545,266.9425964355469,350.04931640625,0.9998375177383423,256.9044189453125,368.4691467285156,0.9999871253967285,266.8639221191406,361.6398620605469,0.9998499155044556,236.1637420654297,343.9111022949219,0.9999850988388062,217.9193878173828,323.0272216796875,0.9999074935913086
9,279.2046813964844,368.65667724609375,0.999935507774353,266.9757080078125,349.9528503417969,0.9998394250869751,256.9044189453125,368.20977783203125,0.9999849796295166,266.1061096191406,361.45849609375,0.999861478805542,236.23965454101562,343.9111022949219,0.9999849796295166,217.88037109375,323.0272216796875,0.9999063014984131
10,279.20355224609375,368.65667724609375,0.9999226331710815,266.9757080078125,349.906005859375,0.9998472929000854,256.88641357421875,368.0553283691406,0.9999828338623047,266.0819396972656,361.370849609375,0.9998794794082642,236.23965454101562,343.7528991699219,0.9999867677688599,217.8782196044922,323.05950927734375,0.9999033212661743
11,279.1773681640625,368.65667724609375,0.9999392032623291,266.88507080078125,349.906005859375,0.9998540878295898,256.3239440917969,368.0553283691406,0.9999808073043823,266.0819396972656,361.370849609375,0.999849796295166,236.1637420654297,343.7528991699219,0.9999877214431763,217.87278747558594,323.1514892578125,0.9999051094055176
12,278.9466857910156,368.7266845703125,0.9999490976333618,266.6081237792969,349.906005859375,0.999845027923584,256.0701599121094,368.0553283691406,0.999976634979248,266.1061096191406,361.370849609375,0.9998453855514526,236.01568603515625,343.7528991699219,0.9999866485595703,217.82655334472656,323.1514892578125,0.9999021291732788
13,278.9270935058594,368.8115539550781,0.9999489784240723,266.5758361816406,349.9264831542969,0.9998371601104736,256.061279296875,368.34906005859375,0.9999808073043823,266.24554443359375,361.3960876464844,0.9998500347137451,235.95748901367188,343.79437255859375,0.999985933303833,217.81687927246094,323.21075439453125,0.999903678894043
14,278.91607666015625,368.9460144042969,0.9999524354934692,266.50543212890625,349.9264831542969,0.999839186668396,255.944580078125,368.7077331542969,0.9999815225601196,266.2465515136719,361.8466796875,0.9998513460159302,235.9532928466797,343.88299560546875,0.9999840259552002,217.81272888183594,323.3730163574219,0.9999023675918579
15,278.9270935058594,369.24615478515625,0.9999551773071289,266.4613037109375,349.9264831542969,0.999854326248169,255.944580078125,368.8704528808594,0.9999825954437256,266.2465515136719,362.1027526855469,0.9998531341552734,235.9527130126953,343.9230651855469,0.9999852180480957,217.81687927246094,323.4711608886719,0.9999011754989624
16,278.9270935058594,369.24615478515625,0.9999624490737915,266.4531555175781,349.82403564453125,0.9998862743377686,255.944580078125,369.22100830078125,0.999981164932251,266.2465515136719,362.1027526855469,0.9998526573181152,235.8680419921875,343.9539794921875,0.9999849796295166,217.81687927246094,323.4711608886719,0.9999048709869385
17,278.9270935058594,369.24615478515625,0.9998990297317505,265.2674560546875,349.82403564453125,0.9998345375061035,255.944580078125,369.22100830078125,0.9999842643737793,266.2465515136719,362.1027526855469,0.9997897744178772,235.239501953125,344.27545166015625,0.9999760389328003,217.81687927246094,323.3730163574219,0.999924898147583
18,279.2287292480469,364.3876953125,0.9999262094497681,262.5000915527344,347.3463134765625,0.9998548030853271,256.0495910644531,369.22100830078125,0.9999821186065674,266.38494873046875,360.6261291503906,0.9999165534973145,233.70272827148438,344.3900146484375,0.9999581575393677,217.8087921142578,323.1244201660156,0.9999055862426758
19,279.3341064453125,358.81005859375,0.9999592304229736,262.21417236328125,344.7898864746094,0.9999452829360962,258.3919372558594,367.14898681640625,0.9999419450759888,266.4073486328125,356.9769592285156,0.9999754428863525,232.59115600585938,344.3900146484375,0.9999493360519409,217.4842987060547,322.1953430175781,0.9998955726623535
20,279.3341064453125,353.8734436035156,0.9999210834503174,262.21417236328125,342.19091796875,0.9999793767929077,261.35394287109375,363.6446533203125,0.999887228012085,268.6890563964844,353.4222412109375,0.999981164932251,232.59115600585938,344.27545166015625,0.9999406337738037,216.843994140625,322.1953430175781,0.9998626708984375
21,280.34417724609375,349.010498046875,0.9998942613601685,262.21417236328125,339.690673828125,0.9999780654907227,264.0311279296875,360.9464111328125,0.999754011631012,270.44189453125,349.707275390625,0.9997988343238831,232.59115600585938,343.8680725097656,0.9999626874923706,216.57058715820312,322.1953430175781,0.9998455047607422
22,280.6990966796875,345.16455078125,0.9998438358306885,262.797119140625,337.1164855957031,0.9999517202377319,267.2291259765625,358.34381103515625,0.9998900890350342,271.64312744140625,346.9739685058594,0.9998763799667358,233.0480499267578,343.5765380859375,0.9999847412109375,216.47128295898438,322.5322265625,0.9997934699058533
23,281.2393493652344,342.2760925292969,0.9999499320983887,265.089599609375,335.0008239746094,0.9997962117195129,269.6649169921875,356.3373107910156,0.9999290704727173,273.21875,345.0581970214844,0.9999595880508423,234.52432250976562,343.3460998535156,0.9999904632568359,216.29222106933594,323.05511474609375,0.9998102784156799
