scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,823.5664,354.0713,0.99658203,801.49414,354.85938,1.0,812.2206,378.01953,0.9375,813.5879,359.64648,0.98535156
1,822.84375,354.94238,1.0,801.33594,355.2378,1.0,811.82007,377.98633,0.95947266,813.08887,358.46484,1.0
2,823.08984,354.6504,1.0,801.1758,354.9756,1.0,811.7776,377.98242,0.9580078,813.09375,357.97656,1.0
3,822.7656,354.75,1.0,800.92773,355.1753,1.0,811.6079,377.67188,0.94873047,812.96045,358.15234,0.9946289
4,823.0664,355.00977,1.0,800.71094,355.11084,1.0,811.2881,377.73438,0.96484375,812.60986,358.4922,1.0
5,822.7656,354.4248,1.0,800.30273,354.42773,0.9951172,811.0659,377.2246,0.95654297,812.12,359.92383,1.0
6,822.9258,354.22754,0.99072266,800.93164,354.5713,0.9921875,811.50464,377.35156,0.96533203,812.85596,359.62695,1.0
7,823.5547,353.85742,0.9746094,801.6113,355.46094,0.99853516,813.0537,376.6328,0.9350586,813.6787,359.70117,0.96875
8,823.0586,353.9004,0.9760742,801.56445,355.72046,1.0,812.73,376.55273,0.9326172,813.38477,358.21484,0.97802734
9,823.1172,354.30664,0.99316406,801.69727,355.78796,1.0,812.80225,376.9375,0.93408203,813.4961,358.48047,0.99902344
10,822.51953,354.59277,0.984375,801.24414,355.61328,1.0,812.38696,376.27148,0.9326172,812.9492,358.47266,1.0
11,823.0918,354.57812,1.0,801.12305,355.60864,1.0,811.0669,376.83008,0.95654297,812.74414,358.8125,1.0
12,822.6992,354.70508,1.0,800.72266,355.437,1.0,810.708,376.48633,0.95996094,812.35156,358.73438,1.0
13,823.0664,353.74414,0.97265625,800.85156,354.98047,0.99853516,812.62305,375.8418,0.9477539,812.4546,359.83984,0.9902344
14,822.6094,354.44336,0.9716797,800.99805,355.39893,1.0,813.0127,375.66797,0.93310547,812.38916,358.2422,0.9863281
15,822.7461,354.30566,0.9736328,801.3379,355.71606,1.0,813.6279,375.58398,0.9267578,812.73193,358.53125,0.9824219
16,823.0586,354.1836,0.96484375,801.2012,356.07648,1.0,813.458,375.45898,0.9326172,812.4453,359.09375,0.984375
