scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,822.166,333.82324,0.84277344,806.6172,339.18018,1.0,820.65234,352.39648,1.0,817.64453,341.51562,1.0
1,821.4297,334.28125,0.87646484,805.3779,338.84277,1.0,817.9199,351.3203,0.96728516,815.8496,340.6089,1.0
2,821.1299,334.7129,0.85302734,804.40063,338.8496,1.0,816.0469,351.03906,0.85839844,813.85547,341.042,1.0
3,820.83887,335.6504,0.86816406,802.3457,339.11377,1.0,813.8877,352.8828,0.9506836,812.3213,342.11133,1.0
4,818.1426,334.89844,0.8779297,800.45703,339.47656,0.96191406,810.7471,353.7461,0.9165039,810.15137,342.57812,1.0
5,817.7129,335.76953,0.90478516,799.9707,339.3955,0.9760742,809.791,354.0078,0.87402344,809.334,343.0703,1.0
6,818.49414,338.7334,0.9746094,798.5996,340.60254,1.0,809.66406,359.36328,0.9013672,808.3164,344.01953,1.0
7,817.6504,341.17676,0.9794922,797.9551,342.7754,0.9970703,808.21875,361.62305,0.9394531,807.1172,347.28516,0.98876953
8,817.00977,343.74023,0.91796875,797.30566,343.8711,0.9814453,806.97266,363.79688,0.96972656,806.33203,349.18457,0.98291016
9,816.43555,345.45312,0.8647461,796.958,344.83203,0.98291016,805.8154,365.36426,0.98291016,805.9287,350.68555,0.99560547
10,815.16797,346.29297,0.84716797,797.5459,345.64453,0.93652344,805.49414,365.53125,0.96191406,805.97266,351.6543,0.9995117
11,815.6211,347.7765,0.9121094,796.4595,345.29688,0.9506836,803.43164,367.24805,0.96435547,805.4072,351.57422,0.9741211
12,815.3418,348.3352,0.8955078,796.93945,345.08203,0.9379883,802.81445,367.08984,0.96435547,805.4951,351.96094,0.9765625
13,816.86914,347.9578,0.9082031,797.69336,343.80664,0.96240234,802.7334,366.39453,0.9814453,805.8613,351.25586,1.0
14,817.11914,346.86914,0.91845703,797.751,341.9248,0.9824219,802.04004,365.53613,0.97265625,805.8662,350.0996,1.0
15,817.5449,345.16797,0.94677734,798.27734,339.15332,0.9350586,802.2373,362.46777,0.96777344,806.96094,347.3169,1.0
16,817.4199,343.5586,0.95703125,798.76953,336.83008,0.91064453,802.08203,358.63867,1.0,807.7617,345.02734,1.0
