scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,480.21292,293.4024,0.99204963,478.79202,315.83453,0.8850816,505.0045,303.97134,0.99898905,485.82855,304.1129,0.9378262
1,480.04428,292.97006,1.0,477.6115,316.10196,0.87791955,505.29575,305.0174,1.0,485.21957,304.29315,0.94485605
2,479.9262,292.53522,1.0,477.85782,315.50375,0.8772971,505.23254,304.1294,1.0,485.23636,303.71783,0.9497298
3,479.83536,292.25797,1.0,477.54144,315.54803,0.8686554,505.06894,303.85403,1.0,484.98157,303.57285,0.9486733
4,479.87527,292.67032,1.0,477.53226,315.72537,0.87831855,505.01135,304.75302,1.0,485.0725,304.01596,0.95571154
5,479.55457,293.20447,1.0,477.51282,316.02435,0.8815227,504.99026,304.91055,1.0,485.03558,304.43607,0.95500666
6,479.02325,294.10226,1.0,477.94092,317.25708,0.8804307,504.82764,305.64093,1.0,485.17224,304.38226,0.96636766
7,479.12903,293.9902,1.0,477.53043,316.71786,0.8759316,504.654,305.37637,1.0,485.26083,304.19955,0.9548344
8,479.0875,293.09402,1.0,478.36398,315.26105,0.86168087,504.23434,303.59973,1.0,485.18542,303.8363,0.96638817
9,479.84247,292.35532,1.0,478.57043,315.05795,0.8732971,504.92188,303.38583,0.99717474,485.3524,303.22522,0.95224017
10,479.8377,292.4548,1.0,477.69458,315.79596,0.8748133,505.24545,304.36176,1.0,485.07184,303.79892,0.9383102
11,479.38162,293.02896,1.0,477.28625,316.1874,0.8731122,504.86597,304.79315,1.0,484.758,304.41516,0.9443087
12,478.36313,294.69925,0.98322886,478.29956,317.51215,0.8559283,504.18262,305.02014,1.0,484.8451,304.43887,0.9667003
13,478.6595,294.82782,0.969316,478.01093,317.96536,0.85054684,504.56876,306.05545,1.0,484.871,304.6866,0.9653353
14,478.9746,294.42923,0.9801481,477.83945,316.90424,0.8614955,504.6018,305.1503,1.0,485.19025,304.2736,0.9508699
15,479.42642,294.1456,0.9857086,478.4714,316.437,0.87888265,504.73285,304.34253,1.0,485.4299,304.69455,0.9462125
16,479.53757,294.43082,0.9795679,478.63477,316.5576,0.87957543,504.60165,304.49594,1.0,485.5545,304.85205,0.94097304
