scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,789.304,319.90335,0.90473866,786.77936,302.69287,0.9628216,773.45575,312.99646,1.0,781.68945,313.81082,1.0
1,789.42804,319.70422,0.9065405,785.9342,302.7421,0.93102056,773.76764,313.98233,1.0,781.4664,313.71997,1.0
2,789.4069,319.38385,0.910903,785.2009,302.72598,0.93645394,774.7694,313.70877,1.0,781.31903,313.22122,1.0
3,789.17944,318.83505,0.91397905,784.55096,303.56454,0.93609834,775.56287,314.1243,1.0,781.1881,313.3588,1.0
4,789.94434,319.7945,0.8848926,785.9732,304.16003,0.9237437,775.93713,314.40732,1.0,781.6174,313.88376,1.0
5,789.80084,319.49048,0.8549483,786.687,305.301,0.915154,776.5785,314.5173,1.0,781.97516,313.91092,1.0
6,790.1505,319.03976,0.85043883,787.5568,305.96652,0.8873229,777.3753,314.65875,1.0,782.5635,313.87024,1.0
7,790.64795,319.10843,0.862257,787.77155,305.64432,0.8748354,777.0281,314.87994,1.0,782.67017,313.96057,1.0
8,790.7776,318.13116,0.8629506,787.78094,305.51758,0.85749114,777.42914,314.74405,1.0,782.8385,313.43738,1.0
9,793.02405,318.15924,0.8670523,789.3774,304.5092,0.8395177,777.628,314.9759,1.0,784.15643,312.546,1.0
10,793.73895,319.29706,0.89412034,790.43463,305.6215,0.81374043,778.9771,320.07544,1.0,786.00793,314.1172,1.0
11,797.5751,319.48407,0.87836325,789.7843,308.62976,0.87064356,780.35,323.55316,1.0,787.25793,316.3203,1.0
12,798.08685,320.26944,0.876926,790.3918,308.6636,0.90338016,781.86096,323.8477,1.0,788.6967,316.96475,1.0
13,799.6115,320.6281,0.937659,792.6507,308.79904,0.90495354,782.9647,325.26703,0.97454745,790.3582,317.8417,1.0
14,799.91925,321.79446,0.9711542,791.7931,309.30707,0.934808,782.7051,328.18796,0.91853684,790.8172,318.87787,1.0
15,800.34326,321.69443,0.95188,791.72565,309.81357,0.91921514,781.91925,328.5151,0.9031082,791.3758,319.40546,1.0
16,801.0516,322.13083,0.944106,791.4785,310.27765,0.9101382,783.05786,331.25528,0.9583437,791.9368,319.8039,1.0
17,801.50305,321.0914,0.87829155,791.7818,311.4171,0.85443366,786.42456,333.1367,1.0,793.15753,320.59448,1.0
