scorer,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000,DLC_resnet50_NEW_ROOM_OFJan26shuffle1_500000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,implant,implant,implant,centroid,centroid,centroid,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,849.7042846679688,261.2272644042969,0.9998842477798462,851.0994262695312,282.5670166015625,0.999937891960144,868.6245727539062,276.6304626464844,0.9999655485153198,856.8585815429688,273.0796813964844,0.9999761581420898,866.8359985351562,302.566650390625,0.9999878406524658,867.0626220703125,343.9371337890625,0.9999915361404419
1,849.7042846679688,261.2272644042969,0.9999253749847412,851.0994262695312,284.339599609375,0.9999194145202637,868.6245727539062,276.6729736328125,0.9999749660491943,856.8585815429688,274.0657653808594,0.9999688863754272,866.8359985351562,303.34405517578125,0.9999771118164062,867.413818359375,344.47467041015625,0.9999881982803345
2,849.7042846679688,261.2272644042969,0.9999144077301025,851.0994262695312,285.11663818359375,0.999911904335022,868.6245727539062,277.3328552246094,0.999982476234436,856.8585815429688,274.3583068847656,0.9999556541442871,866.8359985351562,303.8533630371094,0.9999721050262451,867.6614379882812,344.4949951171875,0.9999885559082031
3,849.2734375,261.36529541015625,0.999893069267273,850.7373046875,285.16619873046875,0.9998809099197388,868.1216430664062,277.4646301269531,0.9999836683273315,856.25732421875,274.398193359375,0.9999619722366333,866.4332275390625,303.8786315917969,0.9999661445617676,867.7750854492188,344.5743408203125,0.999990701675415
4,849.1051635742188,261.36529541015625,0.9999285936355591,850.279296875,285.3502197265625,0.9998815059661865,867.4351806640625,277.63360595703125,0.9999864101409912,855.9063110351562,274.5517272949219,0.9999788999557495,866.4332275390625,304.01617431640625,0.9999661445617676,867.7750854492188,344.7013244628906,0.9999896287918091
5,847.685546875,261.8207702636719,0.999755322933197,850.279052734375,285.8738098144531,0.9998629093170166,866.5691528320312,277.63360595703125,0.9999887943267822,854.8773803710938,274.67645263671875,0.9999808073043823,866.1021728515625,304.2528991699219,0.999954104423523,867.8440551757812,344.5762023925781,0.9999884366989136
6,847.0763549804688,262.7763671875,0.9997071623802185,850.1876220703125,286.1136474609375,0.9998635053634644,866.0695190429688,277.63360595703125,0.9999915361404419,854.2933959960938,275.0423278808594,0.9999847412109375,866.1021728515625,304.2528991699219,0.999944806098938,867.8440551757812,344.7013244628906,0.9999878406524658
7,846.86767578125,262.7763671875,0.9998277425765991,849.6746826171875,286.1136474609375,0.9998373985290527,865.5433349609375,277.50048828125,0.999991774559021,853.7198486328125,275.0423278808594,0.9999876022338867,866.1520385742188,304.53564453125,0.9999494552612305,867.6514282226562,345.07159423828125,0.9999901056289673
8,846.86767578125,262.7763671875,0.9997311234474182,849.6384887695312,286.1136474609375,0.9998490810394287,865.5433349609375,277.3369140625,0.9999904632568359,853.7198486328125,275.0423278808594,0.9999873638153076,866.1520385742188,304.5146789550781,0.9999490976333618,867.2979125976562,345.07159423828125,0.9999895095825195
9,846.86767578125,262.7583923339844,0.9998194575309753,849.5574340820312,286.1011962890625,0.9998517036437988,865.5433349609375,277.3369140625,0.9999896287918091,853.7198486328125,274.8384704589844,0.9999864101409912,865.9552001953125,304.5146789550781,0.99994957447052,867.2553100585938,345.031005859375,0.999990701675415
10,847.1917724609375,261.02490234375,0.9998632669448853,849.6384887695312,285.6413269042969,0.9998729228973389,865.9429321289062,277.50048828125,0.9999902248382568,854.2955932617188,274.597412109375,0.9999866485595703,865.9552001953125,304.5146789550781,0.9999607801437378,867.2473754882812,345.07159423828125,0.9999916553497314
11,848.2129516601562,260.725341796875,0.9999319314956665,849.5574340820312,285.41680908203125,0.999872088432312,866.15380859375,277.55792236328125,0.9999905824661255,854.4981079101562,274.597412109375,0.999987006187439,865.9552001953125,304.5146789550781,0.9999608993530273,867.1849365234375,345.07159423828125,0.9999915361404419
12,848.401123046875,260.6037292480469,0.9999223947525024,849.5574340820312,285.2171630859375,0.9998162388801575,866.328857421875,277.626708984375,0.9999886751174927,854.6246948242188,274.4873352050781,0.9999804496765137,865.9552001953125,304.44085693359375,0.9999555349349976,867.1849365234375,345.10296630859375,0.9999911785125732
13,848.5272216796875,260.48846435546875,0.9999113082885742,849.4708862304688,284.9320983886719,0.9998067021369934,866.3449096679688,277.7870788574219,0.9999890327453613,854.8856811523438,274.4873352050781,0.9999836683273315,866.5955200195312,304.0608215332031,0.9999524354934692,867.1849365234375,345.2347106933594,0.9999911785125732
14,848.54443359375,259.0581970214844,0.9999547004699707,849.4708862304688,284.75555419921875,0.9997392296791077,866.3449096679688,277.7870788574219,0.9999865293502808,854.8856811523438,274.4873352050781,0.9999767541885376,866.5955200195312,304.0608215332031,0.9999507665634155,867.2340087890625,345.2689514160156,0.9999934434890747
15,848.54443359375,259.0581970214844,0.9999717473983765,849.3604736328125,284.3344421386719,0.9997840523719788,866.15380859375,277.7870788574219,0.9999858140945435,854.799560546875,274.1408996582031,0.9999823570251465,866.5955200195312,304.0608215332031,0.9999490976333618,867.2340087890625,345.307373046875,0.9999933242797852
16,848.54443359375,259.0581970214844,0.9999450445175171,849.3604736328125,284.19921875,0.9998144507408142,865.648193359375,277.0085144042969,0.99998939037323,854.799560546875,274.1400146484375,0.9999876022338867,866.0640258789062,304.2573547363281,0.9999425411224365,867.2340087890625,345.307373046875,0.9999926090240479
17,848.7040405273438,260.11212158203125,0.9998751878738403,849.2622680664062,284.18115234375,0.9997455477714539,865.5663452148438,276.96392822265625,0.9999856948852539,854.1249389648438,273.9430847167969,0.999983549118042,865.9157104492188,304.2573547363281,0.9999619722366333,867.2340087890625,345.2689514160156,0.9999905824661255
18,848.472900390625,260.11212158203125,0.999768078327179,848.9667358398438,284.18115234375,0.9998407363891602,865.4791870117188,276.32470703125,0.9999886751174927,854.1249389648438,273.6136169433594,0.9999812841415405,865.857666015625,304.2573547363281,0.999944806098938,867.2286987304688,345.2374572753906,0.9999678134918213
19,848.472900390625,260.11212158203125,0.9999276399612427,848.9667358398438,283.64501953125,0.9997676014900208,865.4791870117188,276.0464782714844,0.9999856948852539,854.1249389648438,273.34320068359375,0.9999852180480957,865.857666015625,304.0387268066406,0.9999523162841797,867.2286987304688,345.2374572753906,0.9999910593032837
20,848.8056640625,260.11212158203125,0.9999055862426758,849.0938720703125,283.1466979980469,0.9998701810836792,865.5663452148438,275.9615173339844,0.9999923706054688,854.4478149414062,273.0641784667969,0.9999878406524658,865.9157104492188,304.0387268066406,0.9999606609344482,867.28271484375,345.2374572753906,0.999990701675415
21,849.1707763671875,260.11212158203125,0.9999639987945557,849.0938720703125,282.8856201171875,0.9998602867126465,865.9256591796875,276.0464782714844,0.9999898672103882,854.8226928710938,273.0641784667969,0.9999879598617554,865.9157104492188,304.0387268066406,0.9999555349349976,867.28271484375,345.3223571777344,0.9999916553497314
22,849.1707763671875,260.1464538574219,0.9999592304229736,849.1187133789062,282.8856201171875,0.9998435974121094,866.3326416015625,275.9615173339844,0.9999854564666748,854.9334106445312,272.98712158203125,0.9999809265136719,865.9157104492188,303.9076232910156,0.9999508857727051,867.2286987304688,345.39306640625,0.999992847442627
23,849.1707763671875,260.2809143066406,0.9999618530273438,849.3359375,282.8856201171875,0.9998587369918823,866.3326416015625,275.9615173339844,0.9999880790710449,854.9334106445312,272.98712158203125,0.9999840259552002,865.9157104492188,303.9076232910156,0.9999544620513916,867.2067260742188,345.4376525878906,0.999992847442627
