scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,791.5766,624.70374,0.62859035,798.14246,616.72784,0.9395616,790.19806,621.8568,0.7395324,792.21387,625.1389,0.8542054
1,798.74036,633.9738,0.7292994,797.1729,617.6918,0.9357548,791.0504,624.3607,0.8126023,793.48267,626.47876,0.9492224
2,799.1658,634.0452,0.75107,796.9904,619.05756,0.9130388,791.78534,626.8432,0.8609818,793.96625,627.6823,0.99758583
3,803.05023,633.02924,0.792746,797.80505,621.2436,0.8460018,793.35297,633.0666,0.950659,796.61017,630.07007,1.0
4,802.9926,629.4964,0.8024352,797.8765,626.90826,0.82254374,795.90894,638.7553,0.9286936,796.63916,633.38745,1.0
5,803.8867,630.0616,0.7877254,798.0142,627.76135,0.8049309,797.8556,637.6603,0.9464512,797.16113,634.05994,1.0
6,803.48157,630.36444,0.7499182,799.9261,630.10706,0.81041616,798.7322,638.39545,1.0,797.8326,634.7545,1.0
7,803.21545,630.7362,0.76341903,799.42554,631.02716,0.8629221,798.0272,639.53613,1.0,797.4701,635.76575,1.0
8,803.5236,631.54675,0.7476033,798.38293,631.2061,0.9047575,797.10547,641.1739,1.0,797.2737,636.56683,1.0
9,803.2146,631.31836,0.76008797,797.9915,630.7992,0.90113145,796.4984,640.3364,1.0,796.819,635.8978,1.0
10,803.1374,631.9668,0.7926997,796.0747,629.941,0.8994005,794.67413,639.6977,0.9750881,796.11224,635.44116,1.0
11,802.32477,632.0331,0.80915856,791.323,626.6516,0.888191,792.6197,641.7759,0.9097246,795.2161,635.0842,1.0
12,802.0185,634.4191,0.8173871,789.7425,627.27075,0.94096166,791.7065,642.1349,0.97732633,793.8779,636.0927,1.0
13,801.7447,635.55914,0.8179357,788.477,627.3373,0.9708825,790.2118,642.263,1.0,792.9515,636.3112,1.0
14,800.6214,634.798,0.81374896,787.10913,627.3133,0.96528935,789.1097,641.5529,0.978563,792.1816,635.9209,1.0
15,800.4813,634.50464,0.8265118,786.564,627.7894,0.9639616,789.1447,643.59235,0.9732439,791.80316,637.08734,1.0
16,801.49054,636.6513,0.81961083,786.4502,628.90735,0.9733285,789.0652,646.4882,0.9765534,791.89435,639.0699,1.0
