scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,793.71686,474.4613,0.8342543,779.6629,470.68497,0.9418839,783.86694,489.0039,0.8368549,784.769,480.06506,1.0
1,794.9281,476.8815,0.77549124,779.4857,472.96463,0.9007748,785.3401,492.92865,0.8106888,786.84357,483.24475,1.0
2,798.10114,478.9153,0.79351246,783.3035,479.2028,0.83421123,788.9536,495.97696,0.8632878,789.291,486.41553,1.0
3,798.6931,481.89276,0.852376,789.7293,484.25662,0.84379804,791.9869,496.569,0.8502771,792.1052,489.3176,1.0
4,800.3574,481.8162,0.9124061,792.9957,484.41312,0.891805,793.465,498.215,0.87373537,792.61975,490.78632,1.0
5,800.777,481.87067,0.9407526,792.3811,485.3558,0.94265854,795.1185,497.5671,0.8688167,793.5247,491.02692,1.0
6,800.2215,482.0886,0.9164891,793.0601,485.38654,0.9271734,794.0997,498.16214,0.82328457,792.8538,491.5057,1.0
7,800.605,482.5875,0.9345385,791.7796,485.5666,0.93696535,794.0002,499.18237,0.8392028,792.7579,492.08884,1.0
8,799.87836,483.6067,0.9103911,792.1594,485.77444,0.9422854,792.6137,499.40356,0.8115952,792.09644,492.78656,1.0
9,799.91064,484.04926,0.91605926,791.10345,485.3144,0.92670995,792.52673,500.79636,0.8191305,791.29877,493.352,1.0
10,800.55505,485.62802,0.92544794,784.66895,487.52347,0.9719956,794.02893,503.4451,0.8662539,792.55383,494.9032,1.0
11,800.44556,486.00156,0.9034966,785.03314,487.86676,0.9592527,793.79034,503.53528,0.8329552,792.70276,495.37726,1.0
12,801.45807,487.6585,0.9123272,784.51337,489.10934,0.9754926,793.2371,506.9212,0.7859193,792.9015,496.60336,0.97981197
13,803.3759,490.09723,0.85567594,785.7783,492.38998,0.9789162,795.71466,509.4436,0.770572,795.02423,498.66437,0.9902088
14,805.2654,494.548,0.8559371,787.7386,495.94836,1.0,800.21747,510.64288,0.9262342,798.17914,500.69458,1.0
15,806.07,495.348,0.892686,790.54694,499.7154,1.0,802.4911,514.26166,0.9845521,800.19666,504.05652,1.0
16,808.02,500.44302,0.8989384,795.4705,503.4496,1.0,803.4867,516.0895,0.8766985,802.67664,508.19034,1.0
