scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,760.3199,879.7719,0.93388027,761.7098,856.3877,1.0,744.8974,865.2249,0.941555,754.4052,868.95184,1.0
1,760.6683,879.47076,0.9203215,761.6769,856.10803,1.0,744.2335,864.8942,0.9259958,754.5012,868.72034,1.0
2,759.6377,878.80835,0.9082599,761.8425,855.30396,1.0,744.35345,864.2083,0.93548137,754.9279,868.4125,1.0
3,759.54395,878.73236,0.92013216,762.1168,855.29156,1.0,744.1564,863.88684,0.9434577,755.1244,868.33844,1.0
4,759.64197,878.60803,0.9152737,762.3131,855.2217,1.0,743.5799,863.6102,0.9489059,755.2644,868.3693,1.0
5,759.6366,878.73425,0.9170116,762.44684,855.3256,1.0,743.3044,863.4047,0.9250288,755.5083,868.4589,1.0
6,759.5042,878.2954,0.91374725,762.54987,855.04626,1.0,742.6617,862.99225,0.9208867,755.8424,868.1146,1.0
7,760.4694,878.2973,0.9155557,762.6647,855.0461,0.99192935,742.7453,862.80365,0.90347075,755.9093,867.6922,1.0
8,760.73517,878.47217,0.91931176,762.7151,855.21466,0.99473727,742.71313,863.6363,0.9472451,756.09326,867.76715,1.0
9,759.94415,878.4217,0.9144901,762.65533,855.0539,1.0,742.5514,864.0616,0.9587545,756.3287,867.96735,1.0
10,759.77325,879.073,0.9221554,762.17926,855.6273,1.0,742.5707,864.36255,0.9424412,755.7309,868.5797,1.0
11,759.66406,879.10913,0.9254639,762.1661,855.62915,1.0,742.5468,864.2229,0.93605995,755.5541,868.65485,1.0
12,759.71356,878.8768,0.9235285,762.55194,855.5131,1.0,742.9553,864.1074,0.94273365,755.6527,868.52313,1.0
13,759.6881,878.84515,0.9236377,762.48096,855.6165,1.0,743.0128,864.0873,0.9517599,755.71765,868.59064,1.0
14,759.80145,879.5467,0.9406029,761.1424,856.61597,1.0,742.6862,865.9146,0.99656373,755.41614,869.68756,1.0
15,759.9179,879.34314,0.93487877,760.92914,856.02814,1.0,742.4537,865.1665,0.9855319,755.3243,869.2939,1.0
16,760.9328,879.2499,0.9305132,761.35,855.3632,1.0,741.9969,865.28516,1.0,756.335,869.1559,1.0
17,761.7695,879.2426,0.93340486,762.29095,854.7418,1.0,741.8369,865.46515,1.0,757.17584,868.8871,1.0
