scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,782.88776,878.6187,0.86839116,769.6398,866.27716,0.9742869,767.3967,883.198,1.0,771.15735,876.37634,1.0
1,782.51636,878.944,0.889618,770.4278,867.22626,0.9744337,769.00977,883.44226,0.9917121,772.3217,876.73456,1.0
2,783.43866,878.2012,0.91207606,770.20184,867.10443,0.99151826,768.3746,883.993,0.98163384,772.9567,876.69556,1.0
3,784.6356,878.56537,0.94390446,771.1196,867.12225,0.99428326,768.923,884.8897,0.98607767,773.91504,876.7803,1.0
4,785.52734,879.3405,0.98524326,771.5556,866.7687,1.0,769.1098,886.73126,0.950297,774.4084,877.0364,1.0
5,785.65173,879.5193,0.9996649,772.1248,866.3016,1.0,769.07513,885.89954,0.97532356,774.008,876.638,1.0
6,784.9772,880.29535,0.97351545,771.96295,865.7983,0.9710498,768.4741,884.82513,0.9652341,773.2241,876.36176,1.0
7,784.6854,880.2969,0.80186355,774.664,865.1212,0.83956367,769.0312,880.78143,0.83398265,773.47864,874.1289,0.9454158
8,779.7284,875.8714,0.66270876,775.77686,862.2185,0.76109236,769.9208,876.29193,0.7552282,773.4506,871.9372,0.88040274
9,782.9046,879.3604,0.7237041,777.03436,862.50275,0.8206739,770.0652,876.1757,0.8771999,774.3032,873.07086,0.8993151
10,786.626,877.36395,0.93101877,773.94086,862.397,0.934155,771.0284,881.23816,0.96214306,776.10846,873.6068,1.0
11,786.65015,877.07745,0.9437608,774.3624,861.74207,0.9450885,770.8944,880.92377,0.9832605,776.38654,873.4679,1.0
12,786.7896,876.3491,0.98464024,774.60144,860.8411,0.95815146,770.3756,881.00476,0.98809063,776.4992,872.9534,1.0
13,787.5344,876.80853,0.98397124,774.93884,860.02954,0.9744664,769.9307,879.9007,0.95774627,776.6107,872.8059,1.0
14,789.044,877.4877,0.94857997,774.8239,861.21234,0.95775694,770.2178,882.2741,0.98700863,777.4073,873.622,1.0
15,790.67896,878.4848,0.9173898,777.25226,861.87946,0.927364,770.4808,883.3836,0.9954562,778.7285,874.34735,1.0
16,790.71094,878.2886,0.9413474,777.2825,863.32214,0.9714795,770.4861,885.0997,1.0,778.7471,875.544,1.0
