scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,816.81055,645.87305,0.9951172,815.71484,663.2285,0.9770508,831.7031,655.7656,0.96972656,822.7344,655.3379,0.94433594
1,818.6914,647.5625,1.0,815.90234,664.39844,0.9472656,829.22656,661.2871,1.0,822.84766,656.89453,1.0
2,818.2959,648.0762,0.99658203,816.60547,664.91797,0.9506836,829.86426,661.0674,1.0,823.21875,657.1406,1.0
3,818.3418,647.0781,1.0,817.6582,663.78516,1.0,829.5537,658.9502,1.0,823.3594,655.78906,1.0
4,816.88086,645.98145,0.9472656,818.7041,662.2617,0.9682617,829.8086,654.5703,0.9614258,824.0508,653.125,0.9926758
5,812.07446,641.3711,0.8911133,818.7324,657.48047,1.0,832.15625,645.6875,0.9248047,820.86084,647.4707,0.9350586
6,806.5664,636.3096,0.9609375,818.9297,650.7324,0.9873047,828.4155,632.01953,0.92285156,817.2422,640.1504,0.9291992
7,802.8262,630.0039,0.93066406,818.4219,643.45703,0.9975586,824.9863,621.90234,0.89746094,815.1758,632.91016,0.9555664
8,801.3613,624.5625,0.9267578,819.41406,634.76074,1.0,822.3301,616.0078,0.9008789,813.3887,625.2988,0.98095703
9,801.4219,616.0469,0.8691406,821.376,625.7969,1.0,819.1743,607.97266,0.86376953,814.28125,615.4258,1.0
10,803.1089,611.16016,0.95410156,824.9336,618.07715,1.0,817.62305,603.896,0.9160156,816.375,608.8008,1.0
11,805.7119,605.91797,0.9121094,825.5469,615.0469,1.0,821.06055,601.46484,0.9604492,818.6123,604.9634,1.0
12,809.1543,600.9746,0.89501953,826.5,609.4297,1.0,824.0156,596.6494,0.9121094,820.98096,600.63086,1.0
13,809.77344,599.584,0.89404297,829.8252,605.1201,1.0,823.8281,590.68555,0.8691406,822.2324,596.7632,1.0
14,810.68066,595.48,0.9350586,832.4531,601.2832,1.0,825.4531,587.2256,0.8461914,823.74023,593.6113,1.0
15,813.78613,590.4453,0.83740234,833.6992,598.2012,1.0,829.3086,580.9741,0.9042969,824.3672,589.91406,1.0
16,816.28125,587.10645,0.8051758,835.5581,593.39844,1.0,833.0156,575.8242,0.8388672,827.0679,584.97656,0.9614258
