scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,784.4769,336.49158,0.9795939,774.9618,353.32367,0.9832081,792.55225,354.5155,1.0,787.71216,346.7316,1.0
1,785.73486,337.0217,1.0,775.8373,353.80084,0.9810444,793.81464,355.20737,0.96763647,788.7133,347.26447,1.0
2,787.11633,337.1586,1.0,777.0522,353.83392,0.9888767,794.0175,354.0674,0.9927271,789.8781,347.50873,1.0
3,785.71655,337.20398,0.9866251,775.30695,353.96393,0.95974845,792.09204,354.26257,0.9802576,788.1365,347.5136,1.0
4,784.26996,338.01767,0.9818572,775.1271,353.90393,0.9496676,789.39954,355.21558,1.0,786.1395,348.0981,1.0
5,783.41113,338.4656,0.9593263,773.51953,353.78537,0.9578815,787.85065,355.33356,1.0,784.84424,348.34604,1.0
6,783.0885,339.2479,0.95847964,772.1617,354.17566,0.9678356,787.9034,356.88803,1.0,783.8112,349.05408,1.0
7,782.5264,339.77597,0.95926434,771.72614,354.45145,0.9817184,789.6564,358.89395,1.0,783.41125,349.81592,1.0
8,782.78156,339.8972,0.97081614,772.00146,354.8137,0.9872881,791.8762,360.3267,0.987259,783.72455,350.41483,1.0
9,783.2921,339.29782,0.9930604,773.49725,355.3064,0.97422636,793.9421,358.50137,0.97976816,784.9901,350.36115,1.0
10,783.32874,338.6701,0.99417233,773.6515,355.45245,0.9737175,795.26996,358.04715,0.9571045,785.1976,350.03995,1.0
11,783.5424,337.94354,0.9931232,774.13184,355.46786,0.96826607,797.04126,358.3728,0.9249335,785.6533,349.3635,1.0
12,784.1398,336.49304,0.99882597,775.07336,355.1723,0.96625996,798.9898,355.93484,0.89261156,786.5748,347.931,1.0
13,783.93097,335.8019,1.0,775.4094,354.751,0.9706494,798.8238,354.56424,0.91399294,786.7965,347.03745,1.0
14,783.30865,335.67996,0.9736726,774.68085,354.40326,0.9840957,795.61255,354.25528,0.93687594,786.24567,346.77942,1.0
15,782.9587,335.57672,0.94825345,774.32184,353.29736,0.9657843,792.1648,352.42264,0.9817986,786.43774,345.8314,1.0
16,782.3818,336.4302,0.9518392,774.13525,353.87915,0.95008194,790.7583,353.77502,1.0,785.5893,346.90952,1.0
