scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,803.62256,882.5801,0.9375,824.5469,877.2998,1.0,809.2285,865.8125,0.9135742,810.0469,874.88574,1.0
1,803.5613,882.6221,0.94091797,824.64844,877.00195,1.0,808.9883,865.75586,0.90722656,809.9219,874.81836,1.0
2,804.04297,882.3721,0.9321289,824.97656,877.1885,1.0,809.62695,865.33594,0.9121094,810.79395,874.8828,1.0
3,804.29004,882.0967,0.9345703,825.3164,877.4258,1.0,810.20215,864.4375,0.9013672,811.4629,874.89453,1.0
4,804.3345,881.9297,0.92822266,825.40625,877.1709,1.0,810.36426,864.4082,0.8964844,811.5498,874.5537,1.0
5,804.3616,881.7715,0.9238281,825.33984,876.9785,1.0,810.2822,864.2988,0.8964844,811.5552,874.38086,1.0
6,804.40283,881.83594,0.9238281,825.3086,876.9492,1.0,810.16406,864.584,0.90283203,811.4717,874.501,1.0
7,804.3281,881.76953,0.9213867,825.3047,876.8623,1.0,810.12305,864.584,0.89746094,811.4238,874.3906,1.0
8,804.24817,881.82227,0.921875,825.1914,876.7578,1.0,809.9551,864.5547,0.90478516,811.2676,874.3594,1.0
9,803.819,882.1924,0.93066406,824.84375,876.8218,1.0,809.2988,864.84766,0.9121094,810.6963,874.61914,1.0
10,803.33105,882.00195,0.93408203,824.6367,876.5752,1.0,808.6699,864.64844,0.89697266,810.07324,874.4326,1.0
11,803.0845,882.3408,0.9428711,824.4297,876.5654,1.0,809.16797,865.33594,0.9169922,809.5039,874.54004,1.0
12,803.07666,882.3926,0.9536133,824.2344,876.4341,1.0,809.08594,865.5039,0.92529297,809.2051,874.4834,0.9975586
13,803.08545,882.37695,0.9511719,824.1836,876.4136,1.0,809.0742,865.459,0.9248047,809.2637,874.4492,0.9975586
14,803.08984,882.38574,0.94921875,824.1875,876.4265,1.0,809.10156,865.3633,0.92333984,809.3047,874.4912,0.9941406
15,803.0625,882.3096,0.9472656,824.33203,876.33057,1.0,809.10547,865.1367,0.92041016,809.2422,874.41113,0.98291016
16,802.71094,882.5596,0.9560547,824.04297,876.2366,1.0,808.53125,865.2871,0.9448242,809.3086,874.8301,0.99072266
