scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,239.82812,881.6133,0.8730469,258.7627,877.4199,1.0,246.68945,864.01953,0.95166016,247.05078,874.27637,1.0
1,239.83984,881.24414,0.8833008,259.0703,877.45703,1.0,246.85547,863.91797,0.9472656,247.27734,874.3135,1.0
2,240.20703,881.40625,0.8730469,259.82874,877.8418,1.0,247.4043,863.4961,0.91552734,248.03906,874.4785,0.9819336
3,241.01367,881.5703,0.87597656,260.28564,878.83984,1.0,248.77344,865.0664,0.8984375,248.73047,874.5674,0.95996094
4,241.13477,881.709,0.8852539,260.73096,879.80273,1.0,248.88672,863.47656,0.9038086,249.2168,875.0747,0.98828125
5,241.44336,881.3047,0.88378906,260.88916,879.7715,1.0,249.28516,863.60156,0.9111328,249.54102,875.03955,0.9951172
6,240.63281,880.33594,0.85302734,260.5171,879.64844,1.0,250.8291,863.8242,0.9277344,248.72656,875.4033,0.97509766
7,240.28906,880.1758,0.86328125,259.94147,879.5742,1.0,250.27148,864.1797,0.9189453,248.72656,875.38477,0.9794922
8,239.60156,880.4121,0.8691406,259.7516,879.89453,1.0,250.14941,863.4258,0.89160156,248.3164,875.6824,1.0
9,239.73438,881.3301,0.87353516,260.93848,880.55273,1.0,252.14136,861.95703,0.88671875,248.89062,876.0902,0.9716797
10,239.23047,882.00977,0.8803711,260.98096,880.8613,1.0,251.92365,861.8877,0.88720703,248.57812,876.36816,0.95654297
11,238.9414,881.4492,0.88427734,260.46436,881.0703,1.0,252.17688,862.4121,0.88427734,248.15039,876.25415,0.97021484
12,239.47656,880.791,0.890625,260.58984,881.61914,1.0,254.0039,862.6504,0.8798828,248.79688,876.1321,0.9941406
13,240.23242,881.0449,0.91259766,260.83057,882.8457,1.0,253.70117,862.6406,0.84521484,249.57422,876.6206,0.99658203
14,240.96875,881.6328,0.9291992,261.56445,883.74316,1.0,254.99219,863.2617,0.84521484,250.4414,877.1914,0.97802734
15,241.25,881.7383,0.94140625,261.54492,884.1377,1.0,255.74023,863.83203,0.8598633,250.7832,877.97266,0.99609375
16,241.6875,880.0762,0.9140625,260.79053,882.9795,1.0,255.76367,863.08594,0.8642578,250.8789,876.93066,1.0
