scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,751.00977,345.89737,0.9883098,747.1445,363.07764,1.0,765.5885,361.05634,1.0,757.0885,356.09616,1.0
1,762.90607,348.81168,0.92677164,758.3253,363.67996,1.0,775.6293,362.69534,1.0,767.34625,358.39484,1.0
2,772.30884,350.56754,0.97418404,767.3673,365.7904,0.99449575,784.72705,363.33163,1.0,777.6201,360.81357,1.0
3,783.0752,350.0947,0.9663973,776.7174,368.92587,1.0,799.974,363.9572,0.98694843,787.35645,359.83386,1.0
4,792.8737,350.78818,0.93505514,787.5107,370.71127,1.0,810.91376,364.38766,0.9304912,796.2636,362.13766,1.0
5,803.4071,354.37585,1.0,797.9851,372.58038,1.0,818.6259,366.70963,0.98055303,807.21893,365.1152,1.0
6,808.56824,353.8444,1.0,802.7789,372.0883,1.0,825.1015,368.15753,0.94547206,811.8371,365.75482,1.0
7,813.44073,353.3104,1.0,806.5392,371.6244,1.0,828.4741,367.6463,0.9815551,815.1931,365.08255,1.0
8,815.14624,353.45993,1.0,807.1168,371.62128,0.995491,828.74567,369.1297,0.9200192,816.04913,365.0071,1.0
9,814.52637,353.493,1.0,806.3548,371.48773,1.0,828.0533,369.14386,0.9373837,815.62756,364.93097,1.0
10,814.1149,353.99133,1.0,805.7522,371.96982,1.0,829.33655,370.18396,0.96259314,815.48505,365.44717,1.0
11,812.4843,354.69296,1.0,802.38245,372.7554,1.0,829.08636,374.2573,0.89468294,814.30804,367.0211,1.0
12,811.9699,355.53873,1.0,801.33105,373.7902,1.0,828.0778,376.19797,0.9046726,813.2792,368.259,1.0
13,810.0419,357.2265,1.0,800.10974,374.4058,0.97011936,824.6165,380.14807,0.923052,810.57227,370.4405,1.0
14,808.7998,361.29742,0.96044534,796.8813,376.5465,0.9582381,819.55994,384.09988,0.98543733,808.49615,374.48804,1.0
15,805.17084,364.93707,0.9954129,791.11523,378.48184,0.87367535,816.01324,388.74765,0.9972458,804.3947,378.4351,1.0
16,804.70886,370.29877,0.98900425,790.9161,382.19022,0.86981916,811.15375,393.5858,0.9199404,802.2858,380.2346,1.0
17,804.8305,375.27106,1.0,786.38495,383.33646,1.0,802.3054,397.65976,1.0,798.11896,384.30988,1.0
