scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,427.2412,915.6196,0.67822266,421.20312,898.22754,0.8730469,407.2461,916.4851,0.7636719,419.79102,908.603,0.85302734
1,426.8994,914.63477,0.6435547,422.21094,897.15625,0.8305664,408.4004,914.78125,0.7451172,420.0449,907.18506,0.84765625
2,428.80566,915.41064,0.68896484,421.6875,897.5176,0.87402344,408.3457,915.9523,0.7734375,420.8672,908.2351,0.87646484
3,430.4746,915.9241,0.73828125,422.98242,898.2578,0.9135742,409.0254,917.8965,0.8232422,422.04883,909.6084,0.8730469
4,431.01953,915.4956,0.71191406,422.89258,899.0913,0.9194336,409.64648,920.17773,0.8198242,422.7207,910.00586,0.8496094
5,432.96094,916.65283,0.76123047,424.62695,898.06055,0.9350586,410.43457,917.91797,0.85253906,424.19336,909.5254,0.92089844
6,433.86133,916.895,0.78564453,426.74902,896.916,0.9223633,409.96875,916.2627,0.8964844,425.31445,908.49805,0.9057617
7,434.74512,916.37256,0.7626953,428.7627,895.28516,0.86035156,410.14453,913.10156,0.88623047,426.7871,907.18896,0.88378906
8,435.13135,916.4822,0.8466797,430.83594,894.0762,0.8413086,407.7754,910.52734,0.92578125,427.29248,905.6738,0.9355469
9,434.375,914.6553,0.94091797,431.40234,892.1598,0.96191406,410.02344,906.1133,0.99072266,427.7329,904.97656,0.96728516
10,432.9375,911.9492,0.91308594,435.87134,889.7324,0.9550781,412.00262,895.7031,1.0,430.00195,901.458,1.0
11,432.88672,908.88184,0.82373047,437.4287,888.35156,0.9736328,413.84473,890.5039,0.9716797,429.3164,897.53516,0.9863281
12,429.58398,905.40234,0.85058594,436.73828,886.1719,1.0,414.39062,886.6328,0.8886719,425.4668,894.71875,1.0
13,424.20703,901.6113,0.9428711,432.96875,883.7407,1.0,410.65625,882.7754,0.9838867,422.39453,891.74194,1.0
14,419.67456,898.8955,0.93408203,426.6709,880.4043,1.0,408.10156,882.92773,0.9848633,416.67578,888.75586,0.9863281
15,414.58398,897.8613,0.8198242,421.3047,878.6797,1.0,403.8125,881.1992,0.9765625,411.04297,887.1504,1.0
16,408.77734,895.9746,0.86816406,415.15625,877.417,0.92822266,399.0918,878.3164,1.0,405.82227,884.27905,1.0
